protocol,subject_a,subject_b,hemi,region,dice
atlas,HLN-12-7,,lh,caudalanteriorcingulate,0.781793
atlas,HLN-12-7,,lh,caudalmiddlefrontal,0.894085
atlas,HLN-12-7,,lh,cuneus,0.734167
atlas,HLN-12-7,,lh,entorhinal,0.799351
atlas,HLN-12-7,,lh,fusiform,0.687701
atlas,HLN-12-7,,lh,inferiorparietal,0.841518
atlas,HLN-12-7,,lh,inferiortemporal,0.762153
atlas,HLN-12-7,,lh,isthmuscingulate,0.836330
atlas,HLN-12-7,,lh,lateraloccipital,0.800063
atlas,HLN-12-7,,lh,lateralorbitofrontal,0.873313
atlas,HLN-12-7,,lh,lingual,0.742280
atlas,HLN-12-7,,lh,medialorbitofrontal,0.844897
atlas,HLN-12-7,,lh,middletemporal,0.780885
atlas,HLN-12-7,,lh,parahippocampal,0.832565
atlas,HLN-12-7,,lh,paracentral,0.789250
atlas,HLN-12-7,,lh,parsopercularis,0.768942
atlas,HLN-12-7,,lh,parsorbitalis,0.549083
atlas,HLN-12-7,,lh,parstriangularis,0.714167
atlas,HLN-12-7,,lh,pericalcarine,0.738934
atlas,HLN-12-7,,lh,postcentral,0.856927
atlas,HLN-12-7,,lh,posteriorcingulate,0.855163
atlas,HLN-12-7,,lh,precentral,0.900334
atlas,HLN-12-7,,lh,precuneus,0.798850
atlas,HLN-12-7,,lh,rostralanteriorcingulate,0.784606
atlas,HLN-12-7,,lh,rostralmiddlefrontal,0.841791
atlas,HLN-12-7,,lh,superiorfrontal,0.892555
atlas,HLN-12-7,,lh,superiorparietal,0.850883
atlas,HLN-12-7,,lh,superiortemporal,0.876429
atlas,HLN-12-7,,lh,supramarginal,0.864338
atlas,HLN-12-7,,lh,transversetemporal,0.811350
atlas,HLN-12-7,,lh,insula,0.858948
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.762977
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.886404
loo,HLN-12-7,,lh,cuneus,0.728833
loo,HLN-12-7,,lh,entorhinal,0.784689
loo,HLN-12-7,,lh,fusiform,0.674479
loo,HLN-12-7,,lh,inferiorparietal,0.834679
loo,HLN-12-7,,lh,inferiortemporal,0.747724
loo,HLN-12-7,,lh,isthmuscingulate,0.829500
loo,HLN-12-7,,lh,lateraloccipital,0.791693
loo,HLN-12-7,,lh,lateralorbitofrontal,0.863200
loo,HLN-12-7,,lh,lingual,0.735563
loo,HLN-12-7,,lh,medialorbitofrontal,0.832304
loo,HLN-12-7,,lh,middletemporal,0.769837
loo,HLN-12-7,,lh,parahippocampal,0.817505
loo,HLN-12-7,,lh,paracentral,0.781163
loo,HLN-12-7,,lh,parsopercularis,0.752915
loo,HLN-12-7,,lh,parsorbitalis,0.531250
loo,HLN-12-7,,lh,parstriangularis,0.694351
loo,HLN-12-7,,lh,pericalcarine,0.731604
loo,HLN-12-7,,lh,postcentral,0.850723
