protocol,subject_a,subject_b,hemi,region,dice
atlas,HLN-12-7,,lh,caudalanteriorcingulate,0.795460
atlas,HLN-12-7,,lh,caudalmiddlefrontal,0.927245
atlas,HLN-12-7,,lh,cuneus,0.783612
atlas,HLN-12-7,,lh,entorhinal,0.820903
atlas,HLN-12-7,,lh,fusiform,0.737383
atlas,HLN-12-7,,lh,inferiorparietal,0.874287
atlas,HLN-12-7,,lh,inferiortemporal,0.785838
atlas,HLN-12-7,,lh,isthmuscingulate,0.878279
atlas,HLN-12-7,,lh,lateraloccipital,0.818282
atlas,HLN-12-7,,lh,lateralorbitofrontal,0.909378
atlas,HLN-12-7,,lh,lingual,0.792530
atlas,HLN-12-7,,lh,medialorbitofrontal,0.891013
atlas,HLN-12-7,,lh,middletemporal,0.854425
atlas,HLN-12-7,,lh,parahippocampal,0.899292
atlas,HLN-12-7,,lh,paracentral,0.798504
atlas,HLN-12-7,,lh,parsopercularis,0.803355
atlas,HLN-12-7,,lh,parsorbitalis,0.593407
atlas,HLN-12-7,,lh,parstriangularis,0.771481
atlas,HLN-12-7,,lh,pericalcarine,0.735048
atlas,HLN-12-7,,lh,postcentral,0.908638
atlas,HLN-12-7,,lh,posteriorcingulate,0.870575
atlas,HLN-12-7,,lh,precentral,0.932923
atlas,HLN-12-7,,lh,precuneus,0.826502
atlas,HLN-12-7,,lh,rostralanteriorcingulate,0.805875
atlas,HLN-12-7,,lh,rostralmiddlefrontal,0.871097
atlas,HLN-12-7,,lh,superiorfrontal,0.910987
atlas,HLN-12-7,,lh,superiorparietal,0.894133
atlas,HLN-12-7,,lh,superiortemporal,0.928701
atlas,HLN-12-7,,lh,supramarginal,0.908209
atlas,HLN-12-7,,lh,transversetemporal,0.890365
atlas,HLN-12-7,,lh,insula,0.885970
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.763464
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.920567
loo,HLN-12-7,,lh,cuneus,0.780488
loo,HLN-12-7,,lh,entorhinal,0.801202
loo,HLN-12-7,,lh,fusiform,0.723132
loo,HLN-12-7,,lh,inferiorparietal,0.868961
loo,HLN-12-7,,lh,inferiortemporal,0.775207
loo,HLN-12-7,,lh,isthmuscingulate,0.873702
loo,HLN-12-7,,lh,lateraloccipital,0.810510
loo,HLN-12-7,,lh,lateralorbitofrontal,0.900578
loo,HLN-12-7,,lh,lingual,0.789075
loo,HLN-12-7,,lh,medialorbitofrontal,0.882986
loo,HLN-12-7,,lh,middletemporal,0.843890
loo,HLN-12-7,,lh,parahippocampal,0.881176
loo,HLN-12-7,,lh,paracentral,0.789380
loo,HLN-12-7,,lh,parsopercularis,0.784114
loo,HLN-12-7,,lh,parsorbitalis,0.564297
loo,HLN-12-7,,lh,parstriangularis,0.739211
loo,HLN-12-7,,lh,pericalcarine,0.729067
loo,HLN-12-7,,lh,postcentral,0.903697
loo,HLN-12-7,,lh,posteriorcingulate,0.863210
loo,HLN-12-7,,lh,precentral,0.926732
loo,HLN-12-7,,lh,precuneus,0.822059
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.791471
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.851828
loo,HLN-12-7,,lh,superiorfrontal,0.891645
loo,HLN-12-7,,lh,superiorparietal,0.885938
loo,HLN-12-7,,lh,superiortemporal,0.919682
loo,HLN-12-7,,lh,supramarginal,0.899763
loo,HLN-12-7,,lh,transversetemporal,0.878619
loo,HLN-12-7,,lh,insula,0.879784
atlas,HLN-12-8,,lh,caudalanteriorcingulate,0.826725
atlas,HLN-12-8,,lh,caudalmiddlefrontal,0.923439
atlas,HLN-12-8,,lh,cuneus,0.877726
atlas,HLN-12-8,,lh,entorhinal,0.801627
atlas,HLN-12-8,,lh,fusiform,0.846604
atlas,HLN-12-8,,lh,inferiorparietal,0.818492
atlas,HLN-12-8,,lh,inferiortemporal,0.843131
atlas,HLN-12-8,,lh,isthmuscingulate,0.909292
atlas,HLN-12-8,,lh,lateraloccipital,0.882807
atlas,HLN-12-8,,lh,lateralorbitofrontal,0.865553
atlas,HLN-12-8,,lh,lingual,0.930351
