protocol,subject_a,subject_b,hemi,region,dice
atlas,HLN-12-7,,lh,caudalanteriorcingulate,0.722191
atlas,HLN-12-7,,lh,caudalmiddlefrontal,0.897067
atlas,HLN-12-7,,lh,cuneus,0.786917
atlas,HLN-12-7,,lh,entorhinal,0.627019
atlas,HLN-12-7,,lh,fusiform,0.691737
atlas,HLN-12-7,,lh,inferiorparietal,0.858228
atlas,HLN-12-7,,lh,inferiortemporal,0.731731
atlas,HLN-12-7,,lh,isthmuscingulate,0.805722
atlas,HLN-12-7,,lh,lateraloccipital,0.781863
atlas,HLN-12-7,,lh,lateralorbitofrontal,0.844470
atlas,HLN-12-7,,lh,lingual,0.784035
atlas,HLN-12-7,,lh,medialorbitofrontal,0.843049
atlas,HLN-12-7,,lh,middletemporal,0.799581
atlas,HLN-12-7,,lh,parahippocampal,0.843220
atlas,HLN-12-7,,lh,paracentral,0.725153
atlas,HLN-12-7,,lh,parsopercularis,0.718310
atlas,HLN-12-7,,lh,parsorbitalis,0.566480
atlas,HLN-12-7,,lh,parstriangularis,0.739507
atlas,HLN-12-7,,lh,pericalcarine,0.720471
atlas,HLN-12-7,,lh,postcentral,0.904748
atlas,HLN-12-7,,lh,posteriorcingulate,0.804512
atlas,HLN-12-7,,lh,precentral,0.870002
atlas,HLN-12-7,,lh,precuneus,0.785607
atlas,HLN-12-7,,lh,rostralanteriorcingulate,0.587899
atlas,HLN-12-7,,lh,rostralmiddlefrontal,0.846920
atlas,HLN-12-7,,lh,superiorfrontal,0.842101
atlas,HLN-12-7,,lh,superiorparietal,0.884906
atlas,HLN-12-7,,lh,superiortemporal,0.881665
atlas,HLN-12-7,,lh,supramarginal,0.892993
atlas,HLN-12-7,,lh,transversetemporal,0.851830
atlas,HLN-12-7,,lh,insula,0.758538
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.699293
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.889673
loo,HLN-12-7,,lh,cuneus,0.777001
loo,HLN-12-7,,lh,entorhinal,0.616389
loo,HLN-12-7,,lh,fusiform,0.680605
loo,HLN-12-7,,lh,inferiorparietal,0.851179
loo,HLN-12-7,,lh,inferiortemporal,0.721168
loo,HLN-12-7,,lh,isthmuscingulate,0.797779
loo,HLN-12-7,,lh,lateraloccipital,0.773710
loo,HLN-12-7,,lh,lateralorbitofrontal,0.836282
loo,HLN-12-7,,lh,lingual,0.779736
loo,HLN-12-7,,lh,medialorbitofrontal,0.834263
loo,HLN-12-7,,lh,middletemporal,0.790100
loo,HLN-12-7,,lh,parahippocampal,0.839463
loo,HLN-12-7,,lh,paracentral,0.719147
loo,HLN-12-7,,lh,parsopercularis,0.706950
loo,HLN-12-7,,lh,parsorbitalis,0.546659
loo,HLN-12-7,,lh,parstriangularis,0.717670
loo,HLN-12-7,,lh,pericalcarine,0.714370
loo,HLN-12-7,,lh,postcentral,0.897498
loo,HLN-12-7,,lh,posteriorcingulate,0.796395
loo,HLN-12-7,,lh,precentral,0.863654
loo,HLN-12-7,,lh,precuneus,0.778668
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.575432
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.829181
loo,HLN-12-7,,lh,superiorfrontal,0.826703
loo,HLN-12-7,,lh,superiorparietal,0.874919
loo,HLN-12-7,,lh,superiortemporal,0.871952
loo,HLN-12-7,,lh,supramarginal,0.881547
loo,HLN-12-7,,lh,transversetemporal,0.839211
loo,HLN-12-7,,lh,insula,0.750940
atlas,HLN-12-8,,lh,caudalanteriorcingulate,0.769756
atlas,HLN-12-8,,lh,caudalmiddlefrontal,0.869531
atlas,HLN-12-8,,lh,cuneus,0.875416
atlas,HLN-12-8,,lh,entorhinal,0.700802
atlas,HLN-12-8,,lh,fusiform,0.752981
atlas,HLN-12-8,,lh,inferiorparietal,0.791244
atlas,HLN-12-8,,lh,inferiortemporal,0.797934
atlas,HLN-12-8,,lh,isthmuscingulate,0.837654
atlas,HLN-12-8,,lh,lateraloccipital,0.850038
atlas,HLN-12-8,,lh,lateralorbitofrontal,0.763690
atlas,HLN-12-8,,lh,lingual,0.919053
atlas,HLN-12-8,,lh,medialorbitofrontal,0.851052
atlas,HLN-12-8,,lh,middletemporal,0.815934
atlas,HLN-12-8,,lh,parahippocampal,0.823609
atlas,HLN-12-8,,lh,paracentral,0.786919
atlas,HLN-12-8,,lh,parsopercularis,0.728411
atlas,HLN-12-8,,lh,parsorbitalis,0.412712
atlas,HLN-12-8,,lh,parstriangularis,0.574206
atlas,HLN-12-8,,lh,pericalcarine,0.904304
atlas,HLN-12-8,,lh,postcentral,0.895819
atlas,HLN-12-8,,lh,posteriorcingulate,0.738805
atlas,HLN-12-8,,lh,precentral,0.863132
atlas,HLN-12-8,,lh,precuneus,0.913969
atlas,HLN-12-8,,lh,rostralanteriorcingulate,0.749307
atlas,HLN-12-8,,lh,rostralmiddlefrontal,0.831506
atlas,HLN-12-8,,lh,superiorfrontal,0.801522
atlas,HLN-12-8,,lh,superiorparietal,0.924219
atlas,HLN-12-8,,lh,superiortemporal,0.823447
atlas,HLN-12-8,,lh,supramarginal,0.751426
atlas,HLN-12-8,,lh,transversetemporal,0.873025
atlas,HLN-12-8,,lh,insula,0.799200
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.748233
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.861490
loo,HLN-12-8,,lh,cuneus,0.865830
loo,HLN-12-8,,lh,entorhinal,0.672886
loo,HLN-12-8,,lh,fusiform,0.737459
loo,HLN-12-8,,lh,inferiorparietal,0.784140
loo,HLN-12-8,,lh,inferiortemporal,0.782431
loo,HLN-12-8,,lh,isthmuscingulate,0.829724
loo,HLN-12-8,,lh,lateraloccipital,0.840656
loo,HLN-12-8,,lh,lateralorbitofrontal,0.756363
