protocol,subject_a,subject_b,hemi,region,dice
atlas,HLN-12-7,,lh,caudalanteriorcingulate,0.803941
atlas,HLN-12-7,,lh,caudalmiddlefrontal,0.872447
atlas,HLN-12-7,,lh,cuneus,0.668004
atlas,HLN-12-7,,lh,entorhinal,0.791743
atlas,HLN-12-7,,lh,fusiform,0.849603
atlas,HLN-12-7,,lh,inferiorparietal,0.866567
atlas,HLN-12-7,,lh,inferiortemporal,0.779657
atlas,HLN-12-7,,lh,isthmuscingulate,0.882970
atlas,HLN-12-7,,lh,lateraloccipital,0.732354
atlas,HLN-12-7,,lh,lateralorbitofrontal,0.909410
atlas,HLN-12-7,,lh,lingual,0.785576
atlas,HLN-12-7,,lh,medialorbitofrontal,0.798309
atlas,HLN-12-7,,lh,middletemporal,0.859851
atlas,HLN-12-7,,lh,parahippocampal,0.831050
atlas,HLN-12-7,,lh,paracentral,0.837198
atlas,HLN-12-7,,lh,parsopercularis,0.754479
atlas,HLN-12-7,,lh,parsorbitalis,0.744926
atlas,HLN-12-7,,lh,parstriangularis,0.776370
atlas,HLN-12-7,,lh,pericalcarine,0.595813
atlas,HLN-12-7,,lh,postcentral,0.879672
atlas,HLN-12-7,,lh,posteriorcingulate,0.874586
atlas,HLN-12-7,,lh,precentral,0.928863
atlas,HLN-12-7,,lh,precuneus,0.819784
atlas,HLN-12-7,,lh,rostralanteriorcingulate,0.680467
atlas,HLN-12-7,,lh,rostralmiddlefrontal,0.870740
atlas,HLN-12-7,,lh,superiorfrontal,0.906867
atlas,HLN-12-7,,lh,superiorparietal,0.857158
atlas,HLN-12-7,,lh,superiortemporal,0.918489
atlas,HLN-12-7,,lh,supramarginal,0.887884
atlas,HLN-12-7,,lh,transversetemporal,0.888087
atlas,HLN-12-7,,lh,insula,0.777673
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.758901
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.857505
loo,HLN-12-7,,lh,cuneus,0.655287
loo,HLN-12-7,,lh,entorhinal,0.771951
loo,HLN-12-7,,lh,fusiform,0.839720
loo,HLN-12-7,,lh,inferiorparietal,0.856234
loo,HLN-12-7,,lh,inferiortemporal,0.768784
loo,HLN-12-7,,lh,isthmuscingulate,0.876826
loo,HLN-12-7,,lh,lateraloccipital,0.722591
loo,HLN-12-7,,lh,lateralorbitofrontal,0.903733
loo,HLN-12-7,,lh,lingual,0.780438
loo,HLN-12-7,,lh,medialorbitofrontal,0.789824
loo,HLN-12-7,,lh,middletemporal,0.849150
loo,HLN-12-7,,lh,parahippocampal,0.822375
loo,HLN-12-7,,lh,paracentral,0.830554
loo,HLN-12-7,,lh,parsopercularis,0.732097
loo,HLN-12-7,,lh,parsorbitalis,0.717450
loo,HLN-12-7,,lh,parstriangularis,0.746189
loo,HLN-12-7,,lh,pericalcarine,0.578245
loo,HLN-12-7,,lh,postcentral,0.871085
loo,HLN-12-7,,lh,posteriorcingulate,0.866609
loo,HLN-12-7,,lh,precentral,0.921874
loo,HLN-12-7,,lh,precuneus,0.813656
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.668951
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.855114
loo,HLN-12-7,,lh,superiorfrontal,0.889452
loo,HLN-12-7,,lh,superiorparietal,0.847543
loo,HLN-12-7,,lh,superiortemporal,0.908959
loo,HLN-12-7,,lh,supramarginal,0.871649
loo,HLN-12-7,,lh,transversetemporal,0.876939
loo,HLN-12-7,,lh,insula,0.768273
atlas,HLN-12-8,,lh,caudalanteriorcingulate,0.546706
atlas,HLN-12-8,,lh,caudalmiddlefrontal,0.887368
atlas,HLN-12-8,,lh,cuneus,0.825085
atlas,HLN-12-8,,lh,entorhinal,0.753302
atlas,HLN-12-8,,lh,fusiform,0.854633
