protocol,subject_a,subject_b,hemi,region,dice
atlas,HLN-12-7,,lh,caudalanteriorcingulate,0.795203
atlas,HLN-12-7,,lh,caudalmiddlefrontal,0.832392
atlas,HLN-12-7,,lh,cuneus,0.612617
atlas,HLN-12-7,,lh,entorhinal,0.818889
atlas,HLN-12-7,,lh,fusiform,0.789968
atlas,HLN-12-7,,lh,inferiorparietal,0.833316
atlas,HLN-12-7,,lh,inferiortemporal,0.770603
atlas,HLN-12-7,,lh,isthmuscingulate,0.830115
atlas,HLN-12-7,,lh,lateraloccipital,0.732212
atlas,HLN-12-7,,lh,lateralorbitofrontal,0.886707
atlas,HLN-12-7,,lh,lingual,0.727132
atlas,HLN-12-7,,lh,medialorbitofrontal,0.783421
atlas,HLN-12-7,,lh,middletemporal,0.781088
atlas,HLN-12-7,,lh,parahippocampal,0.758170
atlas,HLN-12-7,,lh,paracentral,0.828557
atlas,HLN-12-7,,lh,parsopercularis,0.731234
atlas,HLN-12-7,,lh,parsorbitalis,0.694295
atlas,HLN-12-7,,lh,parstriangularis,0.737828
atlas,HLN-12-7,,lh,pericalcarine,0.602959
atlas,HLN-12-7,,lh,postcentral,0.851407
atlas,HLN-12-7,,lh,posteriorcingulate,0.848762
atlas,HLN-12-7,,lh,precentral,0.901787
atlas,HLN-12-7,,lh,precuneus,0.788335
atlas,HLN-12-7,,lh,rostralanteriorcingulate,0.706833
atlas,HLN-12-7,,lh,rostralmiddlefrontal,0.841722
atlas,HLN-12-7,,lh,superiorfrontal,0.889230
atlas,HLN-12-7,,lh,superiorparietal,0.818039
atlas,HLN-12-7,,lh,superiortemporal,0.872443
atlas,HLN-12-7,,lh,supramarginal,0.853726
atlas,HLN-12-7,,lh,transversetemporal,0.813976
atlas,HLN-12-7,,lh,insula,0.784615
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.761002
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.816049
loo,HLN-12-7,,lh,cuneus,0.603832
loo,HLN-12-7,,lh,entorhinal,0.801556
loo,HLN-12-7,,lh,fusiform,0.780870
loo,HLN-12-7,,lh,inferiorparietal,0.823686
loo,HLN-12-7,,lh,inferiortemporal,0.758421
loo,HLN-12-7,,lh,isthmuscingulate,0.824104
loo,HLN-12-7,,lh,lateraloccipital,0.720519
loo,HLN-12-7,,lh,lateralorbitofrontal,0.878818
loo,HLN-12-7,,lh,lingual,0.721062
loo,HLN-12-7,,lh,medialorbitofrontal,0.773349
loo,HLN-12-7,,lh,middletemporal,0.767333
loo,HLN-12-7,,lh,parahippocampal,0.749836
loo,HLN-12-7,,lh,paracentral,0.818587
loo,HLN-12-7,,lh,parsopercularis,0.709904
loo,HLN-12-7,,lh,parsorbitalis,0.675532
loo,HLN-12-7,,lh,parstriangularis,0.712929
loo,HLN-12-7,,lh,pericalcarine,0.590927
loo,HLN-12-7,,lh,postcentral,0.839516
loo,HLN-12-7,,lh,posteriorcingulate,0.836498
loo,HLN-12-7,,lh,precentral,0.892216
loo,HLN-12-7,,lh,precuneus,0.779194
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.693768
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.825996
loo,HLN-12-7,,lh,superiorfrontal,0.871639
loo,HLN-12-7,,lh,superiorparietal,0.803147
loo,HLN-12-7,,lh,superiortemporal,0.859664
loo,HLN-12-7,,lh,supramarginal,0.837909
loo,HLN-12-7,,lh,transversetemporal,0.805106
loo,HLN-12-7,,lh,insula,0.769231
atlas,HLN-12-8,,lh,caudalanteriorcingulate,0.545623
atlas,HLN-12-8,,lh,caudalmiddlefrontal,0.859365
atlas,HLN-12-8,,lh,cuneus,0.800642
atlas,HLN-12-8,,lh,entorhinal,0.771358
atlas,HLN-12-8,,lh,fusiform,0.810963
atlas,HLN-12-8,,lh,inferiorparietal,0.798567
atlas,HLN-12-8,,lh,inferiortemporal,0.822962
atlas,HLN-12-8,,lh,isthmuscingulate,0.712532
atlas,HLN-12-8,,lh,lateraloccipital,0.847102
atlas,HLN-12-8,,lh,lateralorbitofrontal,0.843453
atlas,HLN-12-8,,lh,lingual,0.838169
atlas,HLN-12-8,,lh,medialorbitofrontal,0.863981
atlas,HLN-12-8,,lh,middletemporal,0.802664
atlas,HLN-12-8,,lh,parahippocampal,0.783034
atlas,HLN-12-8,,lh,paracentral,0.482720
atlas,HLN-12-8,,lh,parsopercularis,0.746863
atlas,HLN-12-8,,lh,parsorbitalis,0.390654
atlas,HLN-12-8,,lh,parstriangularis,0.630312
atlas,HLN-12-8,,lh,pericalcarine,0.808021
atlas,HLN-12-8,,lh,postcentral,0.732367
atlas,HLN-12-8,,lh,posteriorcingulate,0.546601
atlas,HLN-12-8,,lh,precentral,0.869151
atlas,HLN-12-8,,lh,precuneus,0.770094
atlas,HLN-12-8,,lh,rostralanteriorcingulate,0.837289
atlas,HLN-12-8,,lh,rostralmiddlefrontal,0.850747
atlas,HLN-12-8,,lh,superiorfrontal,0.836169
atlas,HLN-12-8,,lh,superiorparietal,0.772989
atlas,HLN-12-8,,lh,superiortemporal,0.827028
atlas,HLN-12-8,,lh,supramarginal,0.762619
atlas,HLN-12-8,,lh,transversetemporal,0.800171
atlas,HLN-12-8,,lh,insula,0.810631
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.538764
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.844703
