protocol,subject_a,subject_b,hemi,region,dice
atlas,HLN-12-7,,lh,caudalanteriorcingulate,0.678183
atlas,HLN-12-7,,lh,caudalmiddlefrontal,0.859442
atlas,HLN-12-7,,lh,cuneus,0.675284
atlas,HLN-12-7,,lh,entorhinal,0.575261
atlas,HLN-12-7,,lh,fusiform,0.763687
atlas,HLN-12-7,,lh,inferiorparietal,0.851840
atlas,HLN-12-7,,lh,inferiortemporal,0.724350
atlas,HLN-12-7,,lh,isthmuscingulate,0.840319
atlas,HLN-12-7,,lh,lateraloccipital,0.711632
atlas,HLN-12-7,,lh,lateralorbitofrontal,0.863845
atlas,HLN-12-7,,lh,lingual,0.780224
atlas,HLN-12-7,,lh,medialorbitofrontal,0.828498
atlas,HLN-12-7,,lh,middletemporal,0.820856
atlas,HLN-12-7,,lh,parahippocampal,0.823529
atlas,HLN-12-7,,lh,paracentral,0.769316
atlas,HLN-12-7,,lh,parsopercularis,0.650614
atlas,HLN-12-7,,lh,parsorbitalis,0.715789
atlas,HLN-12-7,,lh,parstriangularis,0.717212
atlas,HLN-12-7,,lh,pericalcarine,0.580307
atlas,HLN-12-7,,lh,postcentral,0.873663
atlas,HLN-12-7,,lh,posteriorcingulate,0.798267
atlas,HLN-12-7,,lh,precentral,0.881431
atlas,HLN-12-7,,lh,precuneus,0.766145
atlas,HLN-12-7,,lh,rostralanteriorcingulate,0.465432
atlas,HLN-12-7,,lh,rostralmiddlefrontal,0.855673
atlas,HLN-12-7,,lh,superiorfrontal,0.837817
atlas,HLN-12-7,,lh,superiorparietal,0.861149
atlas,HLN-12-7,,lh,superiortemporal,0.885830
atlas,HLN-12-7,,lh,supramarginal,0.863451
atlas,HLN-12-7,,lh,transversetemporal,0.853406
atlas,HLN-12-7,,lh,insula,0.624020
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.663115
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.849480
loo,HLN-12-7,,lh,cuneus,0.662637
loo,HLN-12-7,,lh,entorhinal,0.564254
loo,HLN-12-7,,lh,fusiform,0.749766
loo,HLN-12-7,,lh,inferiorparietal,0.838480
loo,HLN-12-7,,lh,inferiortemporal,0.709771
loo,HLN-12-7,,lh,isthmuscingulate,0.831309
loo,HLN-12-7,,lh,lateraloccipital,0.697468
loo,HLN-12-7,,lh,lateralorbitofrontal,0.852883
loo,HLN-12-7,,lh,lingual,0.772345
loo,HLN-12-7,,lh,medialorbitofrontal,0.818834
loo,HLN-12-7,,lh,middletemporal,0.808524
loo,HLN-12-7,,lh,parahippocampal,0.815712
loo,HLN-12-7,,lh,paracentral,0.758997
loo,HLN-12-7,,lh,parsopercularis,0.632584
loo,HLN-12-7,,lh,parsorbitalis,0.697513
loo,HLN-12-7,,lh,parstriangularis,0.693646
loo,HLN-12-7,,lh,pericalcarine,0.568548
loo,HLN-12-7,,lh,postcentral,0.859231
loo,HLN-12-7,,lh,posteriorcingulate,0.784499
loo,HLN-12-7,,lh,precentral,0.874780
loo,HLN-12-7,,lh,precuneus,0.754407
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.454435
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.845035
loo,HLN-12-7,,lh,superiorfrontal,0.826732
loo,HLN-12-7,,lh,superiorparietal,0.843276
loo,HLN-12-7,,lh,superiortemporal,0.874135
loo,HLN-12-7,,lh,supramarginal,0.848955
loo,HLN-12-7,,lh,transversetemporal,0.834867
loo,HLN-12-7,,lh,insula,0.606491
atlas,HLN-12-8,,lh,caudalanteriorcingulate,0.540715
atlas,HLN-12-8,,lh,caudalmiddlefrontal,0.810394
atlas,HLN-12-8,,lh,cuneus,0.844935
