protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.000000
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.000000
loo,HLN-12-7,,lh,cuneus,0.009615
loo,HLN-12-7,,lh,entorhinal,0.000000
loo,HLN-12-7,,lh,fusiform,0.000000
loo,HLN-12-7,,lh,inferiorparietal,0.000000
loo,HLN-12-7,,lh,inferiortemporal,0.000000
loo,HLN-12-7,,lh,isthmuscingulate,0.000000
loo,HLN-12-7,,lh,lateraloccipital,0.000000
loo,HLN-12-7,,lh,lateralorbitofrontal,0.000000
loo,HLN-12-7,,lh,lingual,0.000000
loo,HLN-12-7,,lh,medialorbitofrontal,0.000000
loo,HLN-12-7,,lh,middletemporal,0.000000
loo,HLN-12-7,,lh,parahippocampal,0.000000
loo,HLN-12-7,,lh,paracentral,0.000000
loo,HLN-12-7,,lh,parsopercularis,0.000000
loo,HLN-12-7,,lh,parsorbitalis,0.000000
loo,HLN-12-7,,lh,parstriangularis,0.000000
loo,HLN-12-7,,lh,pericalcarine,0.000000
loo,HLN-12-7,,lh,postcentral,0.000000
loo,HLN-12-7,,lh,posteriorcingulate,0.000000
loo,HLN-12-7,,lh,precentral,0.000000
loo,HLN-12-7,,lh,precuneus,0.000000
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.023235
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.000000
loo,HLN-12-7,,lh,superiorfrontal,0.000000
loo,HLN-12-7,,lh,superiorparietal,0.000000
loo,HLN-12-7,,lh,superiortemporal,0.000000
loo,HLN-12-7,,lh,supramarginal,0.000000
loo,HLN-12-7,,lh,transversetemporal,0.000000
loo,HLN-12-7,,lh,insula,0.000000
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.000000
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.000000
loo,HLN-12-8,,lh,cuneus,0.000000
loo,HLN-12-8,,lh,entorhinal,0.000000
loo,HLN-12-8,,lh,fusiform,0.000000
loo,HLN-12-8,,lh,inferiorparietal,0.000000
loo,HLN-12-8,,lh,inferiortemporal,0.000000
loo,HLN-12-8,,lh,isthmuscingulate,0.000000
loo,HLN-12-8,,lh,lateraloccipital,0.000000
loo,HLN-12-8,,lh,lateralorbitofrontal,0.000000
loo,HLN-12-8,,lh,lingual,0.000000
loo,HLN-12-8,,lh,medialorbitofrontal,0.000000
loo,HLN-12-8,,lh,middletemporal,0.000000
loo,HLN-12-8,,lh,parahippocampal,0.000000
loo,HLN-12-8,,lh,paracentral,0.000000
loo,HLN-12-8,,lh,parsopercularis,0.000000
loo,HLN-12-8,,lh,parsorbitalis,0.000000
loo,HLN-12-8,,lh,parstriangularis,0.000000
loo,HLN-12-8,,lh,pericalcarine,0.000000
loo,HLN-12-8,,lh,postcentral,0.000000
loo,HLN-12-8,,lh,posteriorcingulate,0.000000
loo,HLN-12-8,,lh,precentral,0.000000
loo,HLN-12-8,,lh,precuneus,0.000000
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.000000
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.000000
loo,HLN-12-8,,lh,superiorfrontal,0.000000
loo,HLN-12-8,,lh,superiorparietal,0.000000
loo,HLN-12-8,,lh,superiortemporal,0.000000
loo,HLN-12-8,,lh,supramarginal,0.000000
loo,HLN-12-8,,lh,transversetemporal,0.000000
loo,HLN-12-8,,lh,insula,0.000000
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.705121
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.576556
loo,MMRR-21-15,,lh,cuneus,0.481224
loo,MMRR-21-15,,lh,entorhinal,0.651064
loo,MMRR-21-15,,lh,fusiform,0.621975
loo,MMRR-21-15,,lh,inferiorparietal,0.629921
loo,MMRR-21-15,,lh,inferiortemporal,0.651020
loo,MMRR-21-15,,lh,isthmuscingulate,0.659476
loo,MMRR-21-15,,lh,lateraloccipital,0.544296
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.763047
loo,MMRR-21-15,,lh,lingual,0.487805
loo,MMRR-21-15,,lh,medialorbitofrontal,0.702492
loo,MMRR-21-15,,lh,middletemporal,0.645398
loo,MMRR-21-15,,lh,parahippocampal,0.796438
loo,MMRR-21-15,,lh,paracentral,0.539583
loo,MMRR-21-15,,lh,parsopercularis,0.310222
loo,MMRR-21-15,,lh,parsorbitalis,0.348158
loo,MMRR-21-15,,lh,parstriangularis,0.325039
loo,MMRR-21-15,,lh,pericalcarine,0.248000
loo,MMRR-21-15,,lh,postcentral,0.484553
loo,MMRR-21-15,,lh,posteriorcingulate,0.738347
loo,MMRR-21-15,,lh,precentral,0.457953
