protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.606936
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.620690
loo,HLN-12-7,,lh,cuneus,0.716249
loo,HLN-12-7,,lh,entorhinal,0.704705
loo,HLN-12-7,,lh,fusiform,0.669529
loo,HLN-12-7,,lh,inferiorparietal,0.674678
loo,HLN-12-7,,lh,inferiortemporal,0.627678
loo,HLN-12-7,,lh,isthmuscingulate,0.771242
loo,HLN-12-7,,lh,lateraloccipital,0.570307
loo,HLN-12-7,,lh,lateralorbitofrontal,0.757074
loo,HLN-12-7,,lh,lingual,0.774505
loo,HLN-12-7,,lh,medialorbitofrontal,0.775801
loo,HLN-12-7,,lh,middletemporal,0.704077
loo,HLN-12-7,,lh,parahippocampal,0.814159
loo,HLN-12-7,,lh,paracentral,0.678795
loo,HLN-12-7,,lh,parsopercularis,0.638529
loo,HLN-12-7,,lh,parsorbitalis,0.413379
loo,HLN-12-7,,lh,parstriangularis,0.660779
loo,HLN-12-7,,lh,pericalcarine,0.626122
loo,HLN-12-7,,lh,postcentral,0.716438
loo,HLN-12-7,,lh,posteriorcingulate,0.723562
loo,HLN-12-7,,lh,precentral,0.805058
loo,HLN-12-7,,lh,precuneus,0.682251
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.723468
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.680017
loo,HLN-12-7,,lh,superiorfrontal,0.749388
loo,HLN-12-7,,lh,superiorparietal,0.624000
loo,HLN-12-7,,lh,superiortemporal,0.816297
loo,HLN-12-7,,lh,supramarginal,0.703617
loo,HLN-12-7,,lh,transversetemporal,0.808561
loo,HLN-12-7,,lh,insula,0.856205
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.746051
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.615911
loo,HLN-12-8,,lh,cuneus,0.668153
loo,HLN-12-8,,lh,entorhinal,0.753437
loo,HLN-12-8,,lh,fusiform,0.736518
loo,HLN-12-8,,lh,inferiorparietal,0.719862
loo,HLN-12-8,,lh,inferiortemporal,0.657646
loo,HLN-12-8,,lh,isthmuscingulate,0.783970
loo,HLN-12-8,,lh,lateraloccipital,0.719962
loo,HLN-12-8,,lh,lateralorbitofrontal,0.759759
loo,HLN-12-8,,lh,lingual,0.732636
loo,HLN-12-8,,lh,medialorbitofrontal,0.722198
loo,HLN-12-8,,lh,middletemporal,0.731541
loo,HLN-12-8,,lh,parahippocampal,0.817008
loo,HLN-12-8,,lh,paracentral,0.675545
loo,HLN-12-8,,lh,parsopercularis,0.537972
loo,HLN-12-8,,lh,parsorbitalis,0.182821
loo,HLN-12-8,,lh,parstriangularis,0.432489
loo,HLN-12-8,,lh,pericalcarine,0.574057
loo,HLN-12-8,,lh,postcentral,0.754646
loo,HLN-12-8,,lh,posteriorcingulate,0.718228
loo,HLN-12-8,,lh,precentral,0.796602
loo,HLN-12-8,,lh,precuneus,0.746542
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.749038
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.698089
loo,HLN-12-8,,lh,superiorfrontal,0.735296
loo,HLN-12-8,,lh,superiorparietal,0.718222
loo,HLN-12-8,,lh,superiortemporal,0.767171
loo,HLN-12-8,,lh,supramarginal,0.714356
loo,HLN-12-8,,lh,transversetemporal,0.825980
loo,HLN-12-8,,lh,insula,0.849817
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.760886
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.662521
loo,MMRR-21-15,,lh,cuneus,0.632455
loo,MMRR-21-15,,lh,entorhinal,0.753651
loo,MMRR-21-15,,lh,fusiform,0.608103
loo,MMRR-21-15,,lh,inferiorparietal,0.709247
loo,MMRR-21-15,,lh,inferiortemporal,0.696455
loo,MMRR-21-15,,lh,isthmuscingulate,0.761010
loo,MMRR-21-15,,lh,lateraloccipital,0.601597
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.808727
loo,MMRR-21-15,,lh,lingual,0.640093
loo,MMRR-21-15,,lh,medialorbitofrontal,0.773006
loo,MMRR-21-15,,lh,middletemporal,0.675183
loo,MMRR-21-15,,lh,parahippocampal,0.811703
loo,MMRR-21-15,,lh,paracentral,0.615774
loo,MMRR-21-15,,lh,parsopercularis,0.651110
loo,MMRR-21-15,,lh,parsorbitalis,0.484672
loo,MMRR-21-15,,lh,parstriangularis,0.566127
loo,MMRR-21-15,,lh,pericalcarine,0.427293
loo,MMRR-21-15,,lh,postcentral,0.632617
loo,MMRR-21-15,,lh,posteriorcingulate,0.720629
loo,MMRR-21-15,,lh,precentral,0.717329
loo,MMRR-21-15,,lh,precuneus,0.684568
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.695857
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.612480
loo,MMRR-21-15,,lh,superiorfrontal,0.688423
loo,MMRR-21-15,,lh,superiorparietal,0.669947
loo,MMRR-21-15,,lh,superiortemporal,0.781228
loo,MMRR-21-15,,lh,supramarginal,0.641702
loo,MMRR-21-15,,lh,transversetemporal,0.770335
loo,MMRR-21-15,,lh,insula,0.852629
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.653151
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.632353
loo,MMRR-21-17,,lh,cuneus,0.640684
loo,MMRR-21-17,,lh,entorhinal,0.656379
loo,MMRR-21-17,,lh,fusiform,0.731658
loo,MMRR-21-17,,lh,inferiorparietal,0.552227
loo,MMRR-21-17,,lh,inferiortemporal,0.676797
loo,MMRR-21-17,,lh,isthmuscingulate,0.742188
loo,MMRR-21-17,,lh,lateraloccipital,0.612774
loo,MMRR-21-17,,lh,lateralorbitofrontal,0.771512
loo,MMRR-21-17,,lh,lingual,0.629254
loo,MMRR-21-17,,lh,medialorbitofrontal,0.761417
loo,MMRR-21-17,,lh,middletemporal,0.629766
loo,MMRR-21-17,,lh,parahippocampal,0.765051
loo,MMRR-21-17,,lh,paracentral,0.668491
loo,MMRR-21-17,,lh,parsopercularis,0.766994
loo,MMRR-21-17,,lh,parsorbitalis,0.632573
loo,MMRR-21-17,,lh,parstriangularis,0.653575
loo,MMRR-21-17,,lh,pericalcarine,0.477642
loo,MMRR-21-17,,lh,postcentral,0.682827
loo,MMRR-21-17,,lh,posteriorcingulate,0.710453
loo,MMRR-21-17,,lh,precentral,0.727198
loo,MMRR-21-17,,lh,precuneus,0.728007
loo,MMRR-21-17,,lh,rostralanteriorcingulate,0.662447
loo,MMRR-21-17,,lh,rostralmiddlefrontal,0.591503
loo,MMRR-21-17,,lh,superiorfrontal,0.673089
loo,MMRR-21-17,,lh,superiorparietal,0.578746
loo,MMRR-21-17,,lh,superiortemporal,0.743116
loo,MMRR-21-17,,lh,supramarginal,0.622854
loo,MMRR-21-17,,lh,transversetemporal,0.703748
loo,MMRR-21-17,,lh,insula,0.830245
loo,MMRR-21-21,,lh,caudalanteriorcingulate,0.791622
loo,MMRR-21-21,,lh,caudalmiddlefrontal,0.618720
loo,MMRR-21-21,,lh,cuneus,0.586006
loo,MMRR-21-21,,lh,entorhinal,0.709865
loo,MMRR-21-21,,lh,fusiform,0.677677
loo,MMRR-21-21,,lh,inferiorparietal,0.712960
loo,MMRR-21-21,,lh,inferiortemporal,0.695030
loo,MMRR-21-21,,lh,isthmuscingulate,0.676999
loo,MMRR-21-21,,lh,lateraloccipital,0.627711
loo,MMRR-21-21,,lh,lateralorbitofrontal,0.797520
loo,MMRR-21-21,,lh,lingual,0.563067
loo,MMRR-21-21,,lh,medialorbitofrontal,0.761140
loo,MMRR-21-21,,lh,middletemporal,0.729148
loo,MMRR-21-21,,lh,parahippocampal,0.792918
loo,MMRR-21-21,,lh,paracentral,0.735237
loo,MMRR-21-21,,lh,parsopercularis,0.587179
loo,MMRR-21-21,,lh,parsorbitalis,0.734300
loo,MMRR-21-21,,lh,parstriangularis,0.666667
loo,MMRR-21-21,,lh,pericalcarine,0.491262
loo,MMRR-21-21,,lh,postcentral,0.682102
loo,MMRR-21-21,,lh,posteriorcingulate,0.712890
loo,MMRR-21-21,,lh,precentral,0.744606
loo,MMRR-21-21,,lh,precuneus,0.689427
loo,MMRR-21-21,,lh,rostralanteriorcingulate,0.642343
loo,MMRR-21-21,,lh,rostralmiddlefrontal,0.661140
loo,MMRR-21-21,,lh,superiorfrontal,0.687992
loo,MMRR-21-21,,lh,superiorparietal,0.578913
loo,MMRR-21-21,,lh,superiortemporal,0.775251
loo,MMRR-21-21,,lh,supramarginal,0.703286
loo,MMRR-21-21,,lh,transversetemporal,0.772780
loo,MMRR-21-21,,lh,insula,0.884615
loo,MMRR-21-8,,lh,caudalanteriorcingulate,0.814006
loo,MMRR-21-8,,lh,caudalmiddlefrontal,0.663442
loo,MMRR-21-8,,lh,cuneus,0.690824
loo,MMRR-21-8,,lh,entorhinal,0.747715
loo,MMRR-21-8,,lh,fusiform,0.711828
loo,MMRR-21-8,,lh,inferiorparietal,0.687365
loo,MMRR-21-8,,lh,inferiortemporal,0.707891
loo,MMRR-21-8,,lh,isthmuscingulate,0.739758
loo,MMRR-21-8,,lh,lateraloccipital,0.642367
loo,MMRR-21-8,,lh,lateralorbitofrontal,0.771805
loo,MMRR-21-8,,lh,lingual,0.804062
loo,MMRR-21-8,,lh,medialorbitofrontal,0.786898
loo,MMRR-21-8,,lh,middletemporal,0.692020
loo,MMRR-21-8,,lh,parahippocampal,0.770177
loo,MMRR-21-8,,lh,paracentral,0.755029
loo,MMRR-21-8,,lh,parsopercularis,0.719101
loo,MMRR-21-8,,lh,parsorbitalis,0.521249
loo,MMRR-21-8,,lh,parstriangularis,0.479394
loo,MMRR-21-8,,lh,pericalcarine,0.757548
loo,MMRR-21-8,,lh,postcentral,0.652628
loo,MMRR-21-8,,lh,posteriorcingulate,0.723772
loo,MMRR-21-8,,lh,precentral,0.750640
loo,MMRR-21-8,,lh,precuneus,0.735132
loo,MMRR-21-8,,lh,rostralanteriorcingulate,0.743590
loo,MMRR-21-8,,lh,rostralmiddlefrontal,0.659703
loo,MMRR-21-8,,lh,superiorfrontal,0.756607
loo,MMRR-21-8,,lh,superiorparietal,0.568161
loo,MMRR-21-8,,lh,superiortemporal,0.788472
loo,MMRR-21-8,,lh,supramarginal,0.687914
loo,MMRR-21-8,,lh,transversetemporal,0.766706
loo,MMRR-21-8,,lh,insula,0.860820
loo,MMRR-3T7T-2-1,,lh,caudalanteriorcingulate,0.769687
loo,MMRR-3T7T-2-1,,lh,caudalmiddlefrontal,0.727135
loo,MMRR-3T7T-2-1,,lh,cuneus,0.639962
loo,MMRR-3T7T-2-1,,lh,entorhinal,0.727106
loo,MMRR-3T7T-2-1,,lh,fusiform,0.681297
loo,MMRR-3T7T-2-1,,lh,inferiorparietal,0.668753
