protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.699875
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.599656
loo,HLN-12-7,,lh,cuneus,0.717781
loo,HLN-12-7,,lh,entorhinal,0.704031
loo,HLN-12-7,,lh,fusiform,0.665554
loo,HLN-12-7,,lh,inferiorparietal,0.646221
loo,HLN-12-7,,lh,inferiortemporal,0.618931
loo,HLN-12-7,,lh,isthmuscingulate,0.712584
loo,HLN-12-7,,lh,lateraloccipital,0.584478
loo,HLN-12-7,,lh,lateralorbitofrontal,0.774697
loo,HLN-12-7,,lh,lingual,0.734879
loo,HLN-12-7,,lh,medialorbitofrontal,0.788935
loo,HLN-12-7,,lh,middletemporal,0.695272
loo,HLN-12-7,,lh,parahippocampal,0.811615
loo,HLN-12-7,,lh,paracentral,0.671213
loo,HLN-12-7,,lh,parsopercularis,0.546218
loo,HLN-12-7,,lh,parsorbitalis,0.401020
loo,HLN-12-7,,lh,parstriangularis,0.634398
loo,HLN-12-7,,lh,pericalcarine,0.636569
loo,HLN-12-7,,lh,postcentral,0.628962
loo,HLN-12-7,,lh,posteriorcingulate,0.754122
loo,HLN-12-7,,lh,precentral,0.747647
loo,HLN-12-7,,lh,precuneus,0.633039
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.690813
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.661946
loo,HLN-12-7,,lh,superiorfrontal,0.754245
loo,HLN-12-7,,lh,superiorparietal,0.558580
loo,HLN-12-7,,lh,superiortemporal,0.801076
loo,HLN-12-7,,lh,supramarginal,0.701017
loo,HLN-12-7,,lh,transversetemporal,0.806220
loo,HLN-12-7,,lh,insula,0.826994
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.785474
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.568038
loo,HLN-12-8,,lh,cuneus,0.631856
loo,HLN-12-8,,lh,entorhinal,0.753917
loo,HLN-12-8,,lh,fusiform,0.710294
loo,HLN-12-8,,lh,inferiorparietal,0.714223
loo,HLN-12-8,,lh,inferiortemporal,0.654550
loo,HLN-12-8,,lh,isthmuscingulate,0.735595
loo,HLN-12-8,,lh,lateraloccipital,0.724806
loo,HLN-12-8,,lh,lateralorbitofrontal,0.781657
loo,HLN-12-8,,lh,lingual,0.699499
loo,HLN-12-8,,lh,medialorbitofrontal,0.717282
loo,HLN-12-8,,lh,middletemporal,0.718433
loo,HLN-12-8,,lh,parahippocampal,0.820818
loo,HLN-12-8,,lh,paracentral,0.590269
loo,HLN-12-8,,lh,parsopercularis,0.435156
loo,HLN-12-8,,lh,parsorbitalis,0.201681
loo,HLN-12-8,,lh,parstriangularis,0.435658
loo,HLN-12-8,,lh,pericalcarine,0.571142
loo,HLN-12-8,,lh,postcentral,0.727175
loo,HLN-12-8,,lh,posteriorcingulate,0.729090
loo,HLN-12-8,,lh,precentral,0.736662
loo,HLN-12-8,,lh,precuneus,0.723859
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.749597
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.700314
loo,HLN-12-8,,lh,superiorfrontal,0.738425
loo,HLN-12-8,,lh,superiorparietal,0.710542
loo,HLN-12-8,,lh,superiortemporal,0.766985
loo,HLN-12-8,,lh,supramarginal,0.698413
