protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.629599
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.744632
loo,HLN-12-7,,lh,cuneus,0.696356
loo,HLN-12-7,,lh,entorhinal,0.760692
loo,HLN-12-7,,lh,fusiform,0.658754
loo,HLN-12-7,,lh,inferiorparietal,0.676917
loo,HLN-12-7,,lh,inferiortemporal,0.658684
loo,HLN-12-7,,lh,isthmuscingulate,0.752172
loo,HLN-12-7,,lh,lateraloccipital,0.620526
loo,HLN-12-7,,lh,lateralorbitofrontal,0.794334
loo,HLN-12-7,,lh,lingual,0.699707
loo,HLN-12-7,,lh,medialorbitofrontal,0.795862
loo,HLN-12-7,,lh,middletemporal,0.741306
loo,HLN-12-7,,lh,parahippocampal,0.815434
loo,HLN-12-7,,lh,paracentral,0.694175
loo,HLN-12-7,,lh,parsopercularis,0.653509
loo,HLN-12-7,,lh,parsorbitalis,0.512821
loo,HLN-12-7,,lh,parstriangularis,0.702933
loo,HLN-12-7,,lh,pericalcarine,0.588752
loo,HLN-12-7,,lh,postcentral,0.788366
loo,HLN-12-7,,lh,posteriorcingulate,0.738509
loo,HLN-12-7,,lh,precentral,0.858146
loo,HLN-12-7,,lh,precuneus,0.677602
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.782396
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.731042
loo,HLN-12-7,,lh,superiorfrontal,0.803604
loo,HLN-12-7,,lh,superiorparietal,0.613932
loo,HLN-12-7,,lh,superiortemporal,0.843069
loo,HLN-12-7,,lh,supramarginal,0.705092
loo,HLN-12-7,,lh,transversetemporal,0.797814
loo,HLN-12-7,,lh,insula,0.879374
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.796897
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.694115
loo,HLN-12-8,,lh,cuneus,0.668620
loo,HLN-12-8,,lh,entorhinal,0.767263
loo,HLN-12-8,,lh,fusiform,0.720328
loo,HLN-12-8,,lh,inferiorparietal,0.750250
loo,HLN-12-8,,lh,inferiortemporal,0.705118
loo,HLN-12-8,,lh,isthmuscingulate,0.815637
loo,HLN-12-8,,lh,lateraloccipital,0.722259
loo,HLN-12-8,,lh,lateralorbitofrontal,0.775909
loo,HLN-12-8,,lh,lingual,0.723256
loo,HLN-12-8,,lh,medialorbitofrontal,0.690103
loo,HLN-12-8,,lh,middletemporal,0.772530
loo,HLN-12-8,,lh,parahippocampal,0.838488
loo,HLN-12-8,,lh,paracentral,0.683971
loo,HLN-12-8,,lh,parsopercularis,0.451067
loo,HLN-12-8,,lh,parsorbitalis,0.149171
loo,HLN-12-8,,lh,parstriangularis,0.422170
loo,HLN-12-8,,lh,pericalcarine,0.614887
loo,HLN-12-8,,lh,postcentral,0.791127
loo,HLN-12-8,,lh,posteriorcingulate,0.710544
loo,HLN-12-8,,lh,precentral,0.805050
loo,HLN-12-8,,lh,precuneus,0.759055
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.778409
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.720215
loo,HLN-12-8,,lh,superiorfrontal,0.767533
loo,HLN-12-8,,lh,superiorparietal,0.756303
loo,HLN-12-8,,lh,superiortemporal,0.812146
loo,HLN-12-8,,lh,supramarginal,0.739173
loo,HLN-12-8,,lh,transversetemporal,0.825749
loo,HLN-12-8,,lh,insula,0.869565
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.771776
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.716842
loo,MMRR-21-15,,lh,cuneus,0.672553
loo,MMRR-21-15,,lh,entorhinal,0.775068
loo,MMRR-21-15,,lh,fusiform,0.676971
loo,MMRR-21-15,,lh,inferiorparietal,0.722403
loo,MMRR-21-15,,lh,inferiortemporal,0.729325
loo,MMRR-21-15,,lh,isthmuscingulate,0.794742
loo,MMRR-21-15,,lh,lateraloccipital,0.624055
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.832911
loo,MMRR-21-15,,lh,lingual,0.659901
loo,MMRR-21-15,,lh,medialorbitofrontal,0.760807
loo,MMRR-21-15,,lh,middletemporal,0.735859
loo,MMRR-21-15,,lh,parahippocampal,0.844200
loo,MMRR-21-15,,lh,paracentral,0.676901
loo,MMRR-21-15,,lh,parsopercularis,0.692997
loo,MMRR-21-15,,lh,parsorbitalis,0.591532
loo,MMRR-21-15,,lh,parstriangularis,0.640210
loo,MMRR-21-15,,lh,pericalcarine,0.494222
loo,MMRR-21-15,,lh,postcentral,0.677369
loo,MMRR-21-15,,lh,posteriorcingulate,0.747805
loo,MMRR-21-15,,lh,precentral,0.788331
loo,MMRR-21-15,,lh,precuneus,0.726325
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.799534
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.634851
loo,MMRR-21-15,,lh,superiorfrontal,0.782512
loo,MMRR-21-15,,lh,superiorparietal,0.715988
loo,MMRR-21-15,,lh,superiortemporal,0.832516
loo,MMRR-21-15,,lh,supramarginal,0.668519
loo,MMRR-21-15,,lh,transversetemporal,0.805439
loo,MMRR-21-15,,lh,insula,0.881539
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.754601
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.706561
loo,MMRR-21-17,,lh,cuneus,0.686451
loo,MMRR-21-17,,lh,entorhinal,0.787431
loo,MMRR-21-17,,lh,fusiform,0.748639
loo,MMRR-21-17,,lh,inferiorparietal,0.549171
loo,MMRR-21-17,,lh,inferiortemporal,0.735318
loo,MMRR-21-17,,lh,isthmuscingulate,0.792271
loo,MMRR-21-17,,lh,lateraloccipital,0.667631
loo,MMRR-21-17,,lh,lateralorbitofrontal,0.828576
loo,MMRR-21-17,,lh,lingual,0.641662
loo,MMRR-21-17,,lh,medialorbitofrontal,0.795595
loo,MMRR-21-17,,lh,middletemporal,0.660764
loo,MMRR-21-17,,lh,parahippocampal,0.816993
loo,MMRR-21-17,,lh,paracentral,0.742581
loo,MMRR-21-17,,lh,parsopercularis,0.781198
loo,MMRR-21-17,,lh,parsorbitalis,0.699796
loo,MMRR-21-17,,lh,parstriangularis,0.693009
loo,MMRR-21-17,,lh,pericalcarine,0.535065
loo,MMRR-21-17,,lh,postcentral,0.731649
loo,MMRR-21-17,,lh,posteriorcingulate,0.744312
loo,MMRR-21-17,,lh,precentral,0.814701
loo,MMRR-21-17,,lh,precuneus,0.740690
loo,MMRR-21-17,,lh,rostralanteriorcingulate,0.709351
loo,MMRR-21-17,,lh,rostralmiddlefrontal,0.667253
loo,MMRR-21-17,,lh,superiorfrontal,0.764655
loo,MMRR-21-17,,lh,superiorparietal,0.675525
loo,MMRR-21-17,,lh,superiortemporal,0.775277
loo,MMRR-21-17,,lh,supramarginal,0.657524
loo,MMRR-21-17,,lh,transversetemporal,0.691713
loo,MMRR-21-17,,lh,insula,0.865118
loo,MMRR-21-21,,lh,caudalanteriorcingulate,0.809026
loo,MMRR-21-21,,lh,caudalmiddlefrontal,0.625830
loo,MMRR-21-21,,lh,cuneus,0.560897
loo,MMRR-21-21,,lh,entorhinal,0.715982
loo,MMRR-21-21,,lh,fusiform,0.672613
loo,MMRR-21-21,,lh,inferiorparietal,0.755296
