protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.614923
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.702518
loo,HLN-12-7,,lh,cuneus,0.702974
loo,HLN-12-7,,lh,entorhinal,0.742654
loo,HLN-12-7,,lh,fusiform,0.618359
loo,HLN-12-7,,lh,inferiorparietal,0.655906
loo,HLN-12-7,,lh,inferiortemporal,0.648560
loo,HLN-12-7,,lh,isthmuscingulate,0.760549
loo,HLN-12-7,,lh,lateraloccipital,0.614362
loo,HLN-12-7,,lh,lateralorbitofrontal,0.786226
loo,HLN-12-7,,lh,lingual,0.667720
loo,HLN-12-7,,lh,medialorbitofrontal,0.780959
loo,HLN-12-7,,lh,middletemporal,0.720422
loo,HLN-12-7,,lh,parahippocampal,0.835802
loo,HLN-12-7,,lh,paracentral,0.714947
loo,HLN-12-7,,lh,parsopercularis,0.668628
loo,HLN-12-7,,lh,parsorbitalis,0.456811
loo,HLN-12-7,,lh,parstriangularis,0.685838
loo,HLN-12-7,,lh,pericalcarine,0.593012
loo,HLN-12-7,,lh,postcentral,0.729429
loo,HLN-12-7,,lh,posteriorcingulate,0.779310
loo,HLN-12-7,,lh,precentral,0.835542
loo,HLN-12-7,,lh,precuneus,0.680589
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.761054
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.727907
loo,HLN-12-7,,lh,superiorfrontal,0.790812
loo,HLN-12-7,,lh,superiorparietal,0.605601
loo,HLN-12-7,,lh,superiortemporal,0.832965
loo,HLN-12-7,,lh,supramarginal,0.719988
loo,HLN-12-7,,lh,transversetemporal,0.771271
loo,HLN-12-7,,lh,insula,0.866681
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.768725
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.681008
loo,HLN-12-8,,lh,cuneus,0.683056
loo,HLN-12-8,,lh,entorhinal,0.746803
loo,HLN-12-8,,lh,fusiform,0.690236
loo,HLN-12-8,,lh,inferiorparietal,0.736161
loo,HLN-12-8,,lh,inferiortemporal,0.677501
loo,HLN-12-8,,lh,isthmuscingulate,0.796592
loo,HLN-12-8,,lh,lateraloccipital,0.738972
loo,HLN-12-8,,lh,lateralorbitofrontal,0.766269
loo,HLN-12-8,,lh,lingual,0.692226
loo,HLN-12-8,,lh,medialorbitofrontal,0.688113
loo,HLN-12-8,,lh,middletemporal,0.761838
loo,HLN-12-8,,lh,parahippocampal,0.822953
loo,HLN-12-8,,lh,paracentral,0.682665
loo,HLN-12-8,,lh,parsopercularis,0.417355
loo,HLN-12-8,,lh,parsorbitalis,0.119621
loo,HLN-12-8,,lh,parstriangularis,0.418743
loo,HLN-12-8,,lh,pericalcarine,0.595668
loo,HLN-12-8,,lh,postcentral,0.798258
loo,HLN-12-8,,lh,posteriorcingulate,0.702509
loo,HLN-12-8,,lh,precentral,0.787530
loo,HLN-12-8,,lh,precuneus,0.765148
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.770887
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.710348
loo,HLN-12-8,,lh,superiorfrontal,0.765547
loo,HLN-12-8,,lh,superiorparietal,0.758131
loo,HLN-12-8,,lh,superiortemporal,0.806384
loo,HLN-12-8,,lh,supramarginal,0.747779
loo,HLN-12-8,,lh,transversetemporal,0.805281
loo,HLN-12-8,,lh,insula,0.863564
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.793919
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.721702
loo,MMRR-21-15,,lh,cuneus,0.673313
loo,MMRR-21-15,,lh,entorhinal,0.787444
loo,MMRR-21-15,,lh,fusiform,0.651125
loo,MMRR-21-15,,lh,inferiorparietal,0.736735
loo,MMRR-21-15,,lh,inferiortemporal,0.713672
loo,MMRR-21-15,,lh,isthmuscingulate,0.790793
loo,MMRR-21-15,,lh,lateraloccipital,0.625612
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.824471
loo,MMRR-21-15,,lh,lingual,0.630773
loo,MMRR-21-15,,lh,medialorbitofrontal,0.756439
loo,MMRR-21-15,,lh,middletemporal,0.724066
loo,MMRR-21-15,,lh,parahippocampal,0.862162
loo,MMRR-21-15,,lh,paracentral,0.661366
loo,MMRR-21-15,,lh,parsopercularis,0.583562
loo,MMRR-21-15,,lh,parsorbitalis,0.510423
loo,MMRR-21-15,,lh,parstriangularis,0.516801
loo,MMRR-21-15,,lh,pericalcarine,0.540698
loo,MMRR-21-15,,lh,postcentral,0.668689
loo,MMRR-21-15,,lh,posteriorcingulate,0.762270
loo,MMRR-21-15,,lh,precentral,0.744484
loo,MMRR-21-15,,lh,precuneus,0.718036
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.789159
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.631835
loo,MMRR-21-15,,lh,superiorfrontal,0.759919
loo,MMRR-21-15,,lh,superiorparietal,0.701037
loo,MMRR-21-15,,lh,superiortemporal,0.835102
loo,MMRR-21-15,,lh,supramarginal,0.711392
loo,MMRR-21-15,,lh,transversetemporal,0.779731
loo,MMRR-21-15,,lh,insula,0.864459
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.734897
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.675972
loo,MMRR-21-17,,lh,cuneus,0.709930
loo,MMRR-21-17,,lh,entorhinal,0.809187
loo,MMRR-21-17,,lh,fusiform,0.739104
loo,MMRR-21-17,,lh,inferiorparietal,0.608809
loo,MMRR-21-17,,lh,inferiortemporal,0.735234
loo,MMRR-21-17,,lh,isthmuscingulate,0.790043
loo,MMRR-21-17,,lh,lateraloccipital,0.659898
loo,MMRR-21-17,,lh,lateralorbitofrontal,0.824928
loo,MMRR-21-17,,lh,lingual,0.641850
loo,MMRR-21-17,,lh,medialorbitofrontal,0.784437
loo,MMRR-21-17,,lh,middletemporal,0.688877
loo,MMRR-21-17,,lh,parahippocampal,0.788770
loo,MMRR-21-17,,lh,paracentral,0.709829
loo,MMRR-21-17,,lh,parsopercularis,0.789474
loo,MMRR-21-17,,lh,parsorbitalis,0.691815
loo,MMRR-21-17,,lh,parstriangularis,0.684360
loo,MMRR-21-17,,lh,pericalcarine,0.546961
loo,MMRR-21-17,,lh,postcentral,0.721381
loo,MMRR-21-17,,lh,posteriorcingulate,0.740319
loo,MMRR-21-17,,lh,precentral,0.818383
loo,MMRR-21-17,,lh,precuneus,0.730150
loo,MMRR-21-17,,lh,rostralanteriorcingulate,0.696452
loo,MMRR-21-17,,lh,rostralmiddlefrontal,0.633801
loo,MMRR-21-17,,lh,superiorfrontal,0.751917
loo,MMRR-21-17,,lh,superiorparietal,0.644448
loo,MMRR-21-17,,lh,superiortemporal,0.787555
loo,MMRR-21-17,,lh,supramarginal,0.645369
loo,MMRR-21-17,,lh,transversetemporal,0.675468
loo,MMRR-21-17,,lh,insula,0.855403
loo,MMRR-21-21,,lh,caudalanteriorcingulate,0.798686
loo,MMRR-21-21,,lh,caudalmiddlefrontal,0.603949
loo,MMRR-21-21,,lh,cuneus,0.526023
loo,MMRR-21-21,,lh,entorhinal,0.706406
loo,MMRR-21-21,,lh,fusiform,0.664037
loo,MMRR-21-21,,lh,inferiorparietal,0.728724
loo,MMRR-21-21,,lh,inferiortemporal,0.732085
loo,MMRR-21-21,,lh,isthmuscingulate,0.661391
loo,MMRR-21-21,,lh,lateraloccipital,0.659314
loo,MMRR-21-21,,lh,lateralorbitofrontal,0.825195
loo,MMRR-21-21,,lh,lingual,0.468974
loo,MMRR-21-21,,lh,medialorbitofrontal,0.782267
loo,MMRR-21-21,,lh,middletemporal,0.781446
loo,MMRR-21-21,,lh,parahippocampal,0.770515
loo,MMRR-21-21,,lh,paracentral,0.715374
loo,MMRR-21-21,,lh,parsopercularis,0.664497
loo,MMRR-21-21,,lh,parsorbitalis,0.744503
loo,MMRR-21-21,,lh,parstriangularis,0.740088
loo,MMRR-21-21,,lh,pericalcarine,0.437838
loo,MMRR-21-21,,lh,postcentral,0.646761
loo,MMRR-21-21,,lh,posteriorcingulate,0.747218
loo,MMRR-21-21,,lh,precentral,0.743934
loo,MMRR-21-21,,lh,precuneus,0.638860
loo,MMRR-21-21,,lh,rostralanteriorcingulate,0.688672
loo,MMRR-21-21,,lh,rostralmiddlefrontal,0.706082
loo,MMRR-21-21,,lh,superiorfrontal,0.726949
loo,MMRR-21-21,,lh,superiorparietal,0.538887
loo,MMRR-21-21,,lh,superiortemporal,0.821256
loo,MMRR-21-21,,lh,supramarginal,0.705378
loo,MMRR-21-21,,lh,transversetemporal,0.701878
loo,MMRR-21-21,,lh,insula,0.867324
loo,MMRR-21-8,,lh,caudalanteriorcingulate,0.825936
loo,MMRR-21-8,,lh,caudalmiddlefrontal,0.715240
loo,MMRR-21-8,,lh,cuneus,0.684232
loo,MMRR-21-8,,lh,entorhinal,0.772806
loo,MMRR-21-8,,lh,fusiform,0.734132
loo,MMRR-21-8,,lh,inferiorparietal,0.697591
loo,MMRR-21-8,,lh,inferiortemporal,0.751868
loo,MMRR-21-8,,lh,isthmuscingulate,0.749480
loo,MMRR-21-8,,lh,lateraloccipital,0.679612
loo,MMRR-21-8,,lh,lateralorbitofrontal,0.813035
loo,MMRR-21-8,,lh,lingual,0.795947
loo,MMRR-21-8,,lh,medialorbitofrontal,0.787534
loo,MMRR-21-8,,lh,middletemporal,0.737820
loo,MMRR-21-8,,lh,parahippocampal,0.788752
loo,MMRR-21-8,,lh,paracentral,0.746541
loo,MMRR-21-8,,lh,parsopercularis,0.729412
loo,MMRR-21-8,,lh,parsorbitalis,0.519551
loo,MMRR-21-8,,lh,parstriangularis,0.483812
loo,MMRR-21-8,,lh,pericalcarine,0.762869
loo,MMRR-21-8,,lh,postcentral,0.748582
loo,MMRR-21-8,,lh,posteriorcingulate,0.729208
loo,MMRR-21-8,,lh,precentral,0.820375
loo,MMRR-21-8,,lh,precuneus,0.751256
loo,MMRR-21-8,,lh,rostralanteriorcingulate,0.763115
loo,MMRR-21-8,,lh,rostralmiddlefrontal,0.716873
loo,MMRR-21-8,,lh,superiorfrontal,0.806654
loo,MMRR-21-8,,lh,superiorparietal,0.614825
loo,MMRR-21-8,,lh,superiortemporal,0.817082
loo,MMRR-21-8,,lh,supramarginal,0.741068
loo,MMRR-21-8,,lh,transversetemporal,0.741117
loo,MMRR-21-8,,lh,insula,0.855854
loo,MMRR-3T7T-2-1,,lh,caudalanteriorcingulate,0.843750
loo,MMRR-3T7T-2-1,,lh,caudalmiddlefrontal,0.725623
loo,MMRR-3T7T-2-1,,lh,cuneus,0.666134
loo,MMRR-3T7T-2-1,,lh,entorhinal,0.790083
loo,MMRR-3T7T-2-1,,lh,fusiform,0.699526
loo,MMRR-3T7T-2-1,,lh,inferiorparietal,0.692795
loo,MMRR-3T7T-2-1,,lh,inferiortemporal,0.657983
loo,MMRR-3T7T-2-1,,lh,isthmuscingulate,0.828617
loo,MMRR-3T7T-2-1,,lh,lateraloccipital,0.739230
loo,MMRR-3T7T-2-1,,lh,lateralorbitofrontal,0.822400
loo,MMRR-3T7T-2-1,,lh,lingual,0.789424
