protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.741974
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.865766
loo,HLN-12-7,,lh,cuneus,0.668076
loo,HLN-12-7,,lh,entorhinal,0.731034
loo,HLN-12-7,,lh,fusiform,0.839761
loo,HLN-12-7,,lh,inferiorparietal,0.872509
loo,HLN-12-7,,lh,inferiortemporal,0.794505
loo,HLN-12-7,,lh,isthmuscingulate,0.863551
loo,HLN-12-7,,lh,lateraloccipital,0.714136
loo,HLN-12-7,,lh,lateralorbitofrontal,0.905993
loo,HLN-12-7,,lh,lingual,0.789196
loo,HLN-12-7,,lh,medialorbitofrontal,0.782334
loo,HLN-12-7,,lh,middletemporal,0.863824
loo,HLN-12-7,,lh,parahippocampal,0.897106
loo,HLN-12-7,,lh,paracentral,0.832602
loo,HLN-12-7,,lh,parsopercularis,0.700104
loo,HLN-12-7,,lh,parsorbitalis,0.749263
loo,HLN-12-7,,lh,parstriangularis,0.735537
loo,HLN-12-7,,lh,pericalcarine,0.556054
loo,HLN-12-7,,lh,postcentral,0.871514
loo,HLN-12-7,,lh,posteriorcingulate,0.872495
loo,HLN-12-7,,lh,precentral,0.919820
loo,HLN-12-7,,lh,precuneus,0.824188
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.672340
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.845318
loo,HLN-12-7,,lh,superiorfrontal,0.892910
loo,HLN-12-7,,lh,superiorparietal,0.846650
loo,HLN-12-7,,lh,superiortemporal,0.916709
loo,HLN-12-7,,lh,supramarginal,0.874640
loo,HLN-12-7,,lh,transversetemporal,0.888268
loo,HLN-12-7,,lh,insula,0.818571
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.536285
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.888718
loo,HLN-12-8,,lh,cuneus,0.841901
loo,HLN-12-8,,lh,entorhinal,0.721212
loo,HLN-12-8,,lh,fusiform,0.846578
loo,HLN-12-8,,lh,inferiorparietal,0.820432
loo,HLN-12-8,,lh,inferiortemporal,0.804359
loo,HLN-12-8,,lh,isthmuscingulate,0.745788
loo,HLN-12-8,,lh,lateraloccipital,0.860028
loo,HLN-12-8,,lh,lateralorbitofrontal,0.843315
loo,HLN-12-8,,lh,lingual,0.903664
loo,HLN-12-8,,lh,medialorbitofrontal,0.862245
loo,HLN-12-8,,lh,middletemporal,0.836717
loo,HLN-12-8,,lh,parahippocampal,0.889256
loo,HLN-12-8,,lh,paracentral,0.449355
loo,HLN-12-8,,lh,parsopercularis,0.749559
loo,HLN-12-8,,lh,parsorbitalis,0.325700
loo,HLN-12-8,,lh,parstriangularis,0.599813
loo,HLN-12-8,,lh,pericalcarine,0.782765
loo,HLN-12-8,,lh,postcentral,0.733027
loo,HLN-12-8,,lh,posteriorcingulate,0.534314
loo,HLN-12-8,,lh,precentral,0.883405
loo,HLN-12-8,,lh,precuneus,0.793893
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.803898
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.849282
loo,HLN-12-8,,lh,superiorfrontal,0.842060
loo,HLN-12-8,,lh,superiorparietal,0.771046
loo,HLN-12-8,,lh,superiortemporal,0.844366
loo,HLN-12-8,,lh,supramarginal,0.762533
loo,HLN-12-8,,lh,transversetemporal,0.911528
loo,HLN-12-8,,lh,insula,0.795440
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.800000
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.765634
loo,MMRR-21-15,,lh,cuneus,0.848546
loo,MMRR-21-15,,lh,entorhinal,0.794872
loo,MMRR-21-15,,lh,fusiform,0.789760
loo,MMRR-21-15,,lh,inferiorparietal,0.901804
loo,MMRR-21-15,,lh,inferiortemporal,0.843049
loo,MMRR-21-15,,lh,isthmuscingulate,0.844860
loo,MMRR-21-15,,lh,lateraloccipital,0.846154
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.814988
loo,MMRR-21-15,,lh,lingual,0.887715
loo,MMRR-21-15,,lh,medialorbitofrontal,0.845138
loo,MMRR-21-15,,lh,middletemporal,0.863636
loo,MMRR-21-15,,lh,parahippocampal,0.848485
loo,MMRR-21-15,,lh,paracentral,0.866771
loo,MMRR-21-15,,lh,parsopercularis,0.741313
loo,MMRR-21-15,,lh,parsorbitalis,0.535787
loo,MMRR-21-15,,lh,parstriangularis,0.630940
loo,MMRR-21-15,,lh,pericalcarine,0.813614
loo,MMRR-21-15,,lh,postcentral,0.897469
loo,MMRR-21-15,,lh,posteriorcingulate,0.870668
loo,MMRR-21-15,,lh,precentral,0.810948
loo,MMRR-21-15,,lh,precuneus,0.884553
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.763636
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.840580
loo,MMRR-21-15,,lh,superiorfrontal,0.882418
loo,MMRR-21-15,,lh,superiorparietal,0.914134
loo,MMRR-21-15,,lh,superiortemporal,0.901110
loo,MMRR-21-15,,lh,supramarginal,0.845643
loo,MMRR-21-15,,lh,transversetemporal,0.811370
loo,MMRR-21-15,,lh,insula,0.757463
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.742440
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.928216
loo,MMRR-21-17,,lh,cuneus,0.848303
loo,MMRR-21-17,,lh,entorhinal,0.698413
loo,MMRR-21-17,,lh,fusiform,0.843194
