protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.725031
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.852053
loo,HLN-12-7,,lh,cuneus,0.679406
loo,HLN-12-7,,lh,entorhinal,0.706897
loo,HLN-12-7,,lh,fusiform,0.841304
loo,HLN-12-7,,lh,inferiorparietal,0.859570
loo,HLN-12-7,,lh,inferiortemporal,0.796171
loo,HLN-12-7,,lh,isthmuscingulate,0.871694
loo,HLN-12-7,,lh,lateraloccipital,0.696670
loo,HLN-12-7,,lh,lateralorbitofrontal,0.910678
loo,HLN-12-7,,lh,lingual,0.784615
loo,HLN-12-7,,lh,medialorbitofrontal,0.754759
loo,HLN-12-7,,lh,middletemporal,0.867100
loo,HLN-12-7,,lh,parahippocampal,0.866856
loo,HLN-12-7,,lh,paracentral,0.850267
loo,HLN-12-7,,lh,parsopercularis,0.715635
loo,HLN-12-7,,lh,parsorbitalis,0.737160
loo,HLN-12-7,,lh,parstriangularis,0.749588
loo,HLN-12-7,,lh,pericalcarine,0.582057
loo,HLN-12-7,,lh,postcentral,0.873162
loo,HLN-12-7,,lh,posteriorcingulate,0.875220
loo,HLN-12-7,,lh,precentral,0.921429
loo,HLN-12-7,,lh,precuneus,0.833205
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.704225
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.852094
loo,HLN-12-7,,lh,superiorfrontal,0.892148
loo,HLN-12-7,,lh,superiorparietal,0.858235
loo,HLN-12-7,,lh,superiortemporal,0.923513
loo,HLN-12-7,,lh,supramarginal,0.881744
loo,HLN-12-7,,lh,transversetemporal,0.871345
loo,HLN-12-7,,lh,insula,0.828871
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.543210
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.880119
loo,HLN-12-8,,lh,cuneus,0.849473
loo,HLN-12-8,,lh,entorhinal,0.697436
