protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.734812
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.854580
loo,HLN-12-7,,lh,cuneus,0.672632
loo,HLN-12-7,,lh,entorhinal,0.748603
loo,HLN-12-7,,lh,fusiform,0.849199
loo,HLN-12-7,,lh,inferiorparietal,0.853707
loo,HLN-12-7,,lh,inferiortemporal,0.800089
loo,HLN-12-7,,lh,isthmuscingulate,0.861009
loo,HLN-12-7,,lh,lateraloccipital,0.722063
loo,HLN-12-7,,lh,lateralorbitofrontal,0.907387
loo,HLN-12-7,,lh,lingual,0.793484
loo,HLN-12-7,,lh,medialorbitofrontal,0.769297
loo,HLN-12-7,,lh,middletemporal,0.867109
loo,HLN-12-7,,lh,parahippocampal,0.881970
loo,HLN-12-7,,lh,paracentral,0.835671
loo,HLN-12-7,,lh,parsopercularis,0.713188
loo,HLN-12-7,,lh,parsorbitalis,0.728723
loo,HLN-12-7,,lh,parstriangularis,0.728005
loo,HLN-12-7,,lh,pericalcarine,0.600167
loo,HLN-12-7,,lh,postcentral,0.866617
loo,HLN-12-7,,lh,posteriorcingulate,0.872063
loo,HLN-12-7,,lh,precentral,0.920214
loo,HLN-12-7,,lh,precuneus,0.821079
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.691860
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.848430
loo,HLN-12-7,,lh,superiorfrontal,0.887955
loo,HLN-12-7,,lh,superiorparietal,0.853267
loo,HLN-12-7,,lh,superiortemporal,0.918102
loo,HLN-12-7,,lh,supramarginal,0.878067
loo,HLN-12-7,,lh,transversetemporal,0.866167
loo,HLN-12-7,,lh,insula,0.819496
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.533966
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.879641
loo,HLN-12-8,,lh,cuneus,0.840146
loo,HLN-12-8,,lh,entorhinal,0.722939
loo,HLN-12-8,,lh,fusiform,0.837156
loo,HLN-12-8,,lh,inferiorparietal,0.801943
loo,HLN-12-8,,lh,inferiortemporal,0.804971
loo,HLN-12-8,,lh,isthmuscingulate,0.752329
loo,HLN-12-8,,lh,lateraloccipital,0.867638
loo,HLN-12-8,,lh,lateralorbitofrontal,0.840453
loo,HLN-12-8,,lh,lingual,0.905213
loo,HLN-12-8,,lh,medialorbitofrontal,0.863899
loo,HLN-12-8,,lh,middletemporal,0.850022
loo,HLN-12-8,,lh,parahippocampal,0.863877
loo,HLN-12-8,,lh,paracentral,0.463805
loo,HLN-12-8,,lh,parsopercularis,0.750788
loo,HLN-12-8,,lh,parsorbitalis,0.314088
loo,HLN-12-8,,lh,parstriangularis,0.589316
loo,HLN-12-8,,lh,pericalcarine,0.806876
loo,HLN-12-8,,lh,postcentral,0.737314
loo,HLN-12-8,,lh,posteriorcingulate,0.540583
loo,HLN-12-8,,lh,precentral,0.886115
loo,HLN-12-8,,lh,precuneus,0.789609
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.801284
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.847858
loo,HLN-12-8,,lh,superiorfrontal,0.827583
loo,HLN-12-8,,lh,superiorparietal,0.778243
loo,HLN-12-8,,lh,superiortemporal,0.850365
loo,HLN-12-8,,lh,supramarginal,0.767067
loo,HLN-12-8,,lh,transversetemporal,0.901465
loo,HLN-12-8,,lh,insula,0.793744
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.801820
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.749332
loo,MMRR-21-15,,lh,cuneus,0.846233
loo,MMRR-21-15,,lh,entorhinal,0.777602
loo,MMRR-21-15,,lh,fusiform,0.796531
loo,MMRR-21-15,,lh,inferiorparietal,0.890557
loo,MMRR-21-15,,lh,inferiortemporal,0.835294
loo,MMRR-21-15,,lh,isthmuscingulate,0.852869
loo,MMRR-21-15,,lh,lateraloccipital,0.858246
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.818259
loo,MMRR-21-15,,lh,lingual,0.893920
loo,MMRR-21-15,,lh,medialorbitofrontal,0.831605
loo,MMRR-21-15,,lh,middletemporal,0.867938
loo,MMRR-21-15,,lh,parahippocampal,0.833386
loo,MMRR-21-15,,lh,paracentral,0.871287
loo,MMRR-21-15,,lh,parsopercularis,0.745349
loo,MMRR-21-15,,lh,parsorbitalis,0.545048
loo,MMRR-21-15,,lh,parstriangularis,0.613646
loo,MMRR-21-15,,lh,pericalcarine,0.825864
loo,MMRR-21-15,,lh,postcentral,0.890822
loo,MMRR-21-15,,lh,posteriorcingulate,0.874538
loo,MMRR-21-15,,lh,precentral,0.807957
loo,MMRR-21-15,,lh,precuneus,0.883721
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.767090
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.841399
loo,MMRR-21-15,,lh,superiorfrontal,0.875458
loo,MMRR-21-15,,lh,superiorparietal,0.912867
loo,MMRR-21-15,,lh,superiortemporal,0.901594
loo,MMRR-21-15,,lh,supramarginal,0.846566
loo,MMRR-21-15,,lh,transversetemporal,0.828530
loo,MMRR-21-15,,lh,insula,0.755871
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.734368
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.925250
loo,MMRR-21-17,,lh,cuneus,0.842671
loo,MMRR-21-17,,lh,entorhinal,0.689433
loo,MMRR-21-17,,lh,fusiform,0.854409
loo,MMRR-21-17,,lh,inferiorparietal,0.806130
loo,MMRR-21-17,,lh,inferiortemporal,0.854599
loo,MMRR-21-17,,lh,isthmuscingulate,0.832170
loo,MMRR-21-17,,lh,lateraloccipital,0.789155
loo,MMRR-21-17,,lh,lateralorbitofrontal,0.901941
loo,MMRR-21-17,,lh,lingual,0.876404
loo,MMRR-21-17,,lh,medialorbitofrontal,0.856608
loo,MMRR-21-17,,lh,middletemporal,0.800366
loo,MMRR-21-17,,lh,parahippocampal,0.879330
loo,MMRR-21-17,,lh,paracentral,0.791631
loo,MMRR-21-17,,lh,parsopercularis,0.867999
loo,MMRR-21-17,,lh,parsorbitalis,0.717618
loo,MMRR-21-17,,lh,parstriangularis,0.787974
loo,MMRR-21-17,,lh,pericalcarine,0.768263
loo,MMRR-21-17,,lh,postcentral,0.869203
loo,MMRR-21-17,,lh,posteriorcingulate,0.843078
loo,MMRR-21-17,,lh,precentral,0.906018
loo,MMRR-21-17,,lh,precuneus,0.860351
loo,MMRR-21-17,,lh,rostralanteriorcingulate,0.799431
loo,MMRR-21-17,,lh,rostralmiddlefrontal,0.904300
loo,MMRR-21-17,,lh,superiorfrontal,0.882419
loo,MMRR-21-17,,lh,superiorparietal,0.877655
loo,MMRR-21-17,,lh,superiortemporal,0.866732
loo,MMRR-21-17,,lh,supramarginal,0.769171
loo,MMRR-21-17,,lh,transversetemporal,0.846377
loo,MMRR-21-17,,lh,insula,0.845219
loo,MMRR-21-21,,lh,caudalanteriorcingulate,0.757296
loo,MMRR-21-21,,lh,caudalmiddlefrontal,0.825368
loo,MMRR-21-21,,lh,cuneus,0.831595
loo,MMRR-21-21,,lh,entorhinal,0.784867
loo,MMRR-21-21,,lh,fusiform,0.811729
loo,MMRR-21-21,,lh,inferiorparietal,0.862888
loo,MMRR-21-21,,lh,inferiortemporal,0.854434
loo,MMRR-21-21,,lh,isthmuscingulate,0.851870
loo,MMRR-21-21,,lh,lateraloccipital,0.831956
loo,MMRR-21-21,,lh,lateralorbitofrontal,0.888889
loo,MMRR-21-21,,lh,lingual,0.846699
loo,MMRR-21-21,,lh,medialorbitofrontal,0.858626
loo,MMRR-21-21,,lh,middletemporal,0.866905
loo,MMRR-21-21,,lh,parahippocampal,0.784363
loo,MMRR-21-21,,lh,paracentral,0.872224
loo,MMRR-21-21,,lh,parsopercularis,0.597515
loo,MMRR-21-21,,lh,parsorbitalis,0.793388
loo,MMRR-21-21,,lh,parstriangularis,0.725982
loo,MMRR-21-21,,lh,pericalcarine,0.838883
loo,MMRR-21-21,,lh,postcentral,0.883404
loo,MMRR-21-21,,lh,posteriorcingulate,0.883874
loo,MMRR-21-21,,lh,precentral,0.882503
loo,MMRR-21-21,,lh,precuneus,0.883698
loo,MMRR-21-21,,lh,rostralanteriorcingulate,0.732655
loo,MMRR-21-21,,lh,rostralmiddlefrontal,0.865680
loo,MMRR-21-21,,lh,superiorfrontal,0.850598
loo,MMRR-21-21,,lh,superiorparietal,0.865578
loo,MMRR-21-21,,lh,superiortemporal,0.889045
loo,MMRR-21-21,,lh,supramarginal,0.896312
loo,MMRR-21-21,,lh,transversetemporal,0.884732
loo,MMRR-21-21,,lh,insula,0.824247
loo,MMRR-21-8,,lh,caudalanteriorcingulate,0.698125
loo,MMRR-21-8,,lh,caudalmiddlefrontal,0.694543
loo,MMRR-21-8,,lh,cuneus,0.766495
loo,MMRR-21-8,,lh,entorhinal,0.688749
loo,MMRR-21-8,,lh,fusiform,0.826311
loo,MMRR-21-8,,lh,inferiorparietal,0.878846
loo,MMRR-21-8,,lh,inferiortemporal,0.845991
