protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.738761
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.862538
loo,HLN-12-7,,lh,cuneus,0.745694
loo,HLN-12-7,,lh,entorhinal,0.783699
loo,HLN-12-7,,lh,fusiform,0.829344
loo,HLN-12-7,,lh,inferiorparietal,0.876486
loo,HLN-12-7,,lh,inferiortemporal,0.721585
loo,HLN-12-7,,lh,isthmuscingulate,0.850233
loo,HLN-12-7,,lh,lateraloccipital,0.755848
loo,HLN-12-7,,lh,lateralorbitofrontal,0.910386
loo,HLN-12-7,,lh,lingual,0.794888
loo,HLN-12-7,,lh,medialorbitofrontal,0.821549
loo,HLN-12-7,,lh,middletemporal,0.776392
loo,HLN-12-7,,lh,parahippocampal,0.899270
loo,HLN-12-7,,lh,paracentral,0.842172
loo,HLN-12-7,,lh,parsopercularis,0.731405
loo,HLN-12-7,,lh,parsorbitalis,0.689855
loo,HLN-12-7,,lh,parstriangularis,0.756260
loo,HLN-12-7,,lh,pericalcarine,0.628571
loo,HLN-12-7,,lh,postcentral,0.872583
loo,HLN-12-7,,lh,posteriorcingulate,0.870912
loo,HLN-12-7,,lh,precentral,0.915980
loo,HLN-12-7,,lh,precuneus,0.833649
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.727273
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.852223
loo,HLN-12-7,,lh,superiorfrontal,0.885548
loo,HLN-12-7,,lh,superiorparietal,0.858014
loo,HLN-12-7,,lh,superiortemporal,0.908097
loo,HLN-12-7,,lh,supramarginal,0.885901
loo,HLN-12-7,,lh,transversetemporal,0.840841
loo,HLN-12-7,,lh,insula,0.827086
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.550000
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.895544
loo,HLN-12-8,,lh,cuneus,0.828485
loo,HLN-12-8,,lh,entorhinal,0.725762
loo,HLN-12-8,,lh,fusiform,0.837259
loo,HLN-12-8,,lh,inferiorparietal,0.816431
loo,HLN-12-8,,lh,inferiortemporal,0.776379
loo,HLN-12-8,,lh,isthmuscingulate,0.744807
loo,HLN-12-8,,lh,lateraloccipital,0.871013
loo,HLN-12-8,,lh,lateralorbitofrontal,0.853138
loo,HLN-12-8,,lh,lingual,0.900198
loo,HLN-12-8,,lh,medialorbitofrontal,0.851064
loo,HLN-12-8,,lh,middletemporal,0.839913
loo,HLN-12-8,,lh,parahippocampal,0.870091
loo,HLN-12-8,,lh,paracentral,0.485385
loo,HLN-12-8,,lh,parsopercularis,0.735900
loo,HLN-12-8,,lh,parsorbitalis,0.320197
loo,HLN-12-8,,lh,parstriangularis,0.597378
loo,HLN-12-8,,lh,pericalcarine,0.777577
loo,HLN-12-8,,lh,postcentral,0.838743
loo,HLN-12-8,,lh,posteriorcingulate,0.549844
loo,HLN-12-8,,lh,precentral,0.906207
loo,HLN-12-8,,lh,precuneus,0.791202
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.811834
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.856269
loo,HLN-12-8,,lh,superiorfrontal,0.837473
loo,HLN-12-8,,lh,superiorparietal,0.859105
loo,HLN-12-8,,lh,superiortemporal,0.843995
loo,HLN-12-8,,lh,supramarginal,0.748949
loo,HLN-12-8,,lh,transversetemporal,0.853186
loo,HLN-12-8,,lh,insula,0.809433
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.819512
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.777405
loo,MMRR-21-15,,lh,cuneus,0.840491
loo,MMRR-21-15,,lh,entorhinal,0.803681
loo,MMRR-21-15,,lh,fusiform,0.804721
loo,MMRR-21-15,,lh,inferiorparietal,0.885082
loo,MMRR-21-15,,lh,inferiortemporal,0.843836
loo,MMRR-21-15,,lh,isthmuscingulate,0.839187
loo,MMRR-21-15,,lh,lateraloccipital,0.851866
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.816254
loo,MMRR-21-15,,lh,lingual,0.898423
loo,MMRR-21-15,,lh,medialorbitofrontal,0.822222
loo,MMRR-21-15,,lh,middletemporal,0.846052
loo,MMRR-21-15,,lh,parahippocampal,0.847512
loo,MMRR-21-15,,lh,paracentral,0.845594
loo,MMRR-21-15,,lh,parsopercularis,0.760976
loo,MMRR-21-15,,lh,parsorbitalis,0.541502
loo,MMRR-21-15,,lh,parstriangularis,0.624490
loo,MMRR-21-15,,lh,pericalcarine,0.808799
loo,MMRR-21-15,,lh,postcentral,0.895923
loo,MMRR-21-15,,lh,posteriorcingulate,0.884211
loo,MMRR-21-15,,lh,precentral,0.811361
loo,MMRR-21-15,,lh,precuneus,0.885104
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.749054
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.837814
loo,MMRR-21-15,,lh,superiorfrontal,0.872423
loo,MMRR-21-15,,lh,superiorparietal,0.912434
loo,MMRR-21-15,,lh,superiortemporal,0.898024
loo,MMRR-21-15,,lh,supramarginal,0.854188
loo,MMRR-21-15,,lh,transversetemporal,0.808625
loo,MMRR-21-15,,lh,insula,0.761965
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.749232
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.920657
loo,MMRR-21-17,,lh,cuneus,0.842437
loo,MMRR-21-17,,lh,entorhinal,0.628571
loo,MMRR-21-17,,lh,fusiform,0.849285
loo,MMRR-21-17,,lh,inferiorparietal,0.801875
loo,MMRR-21-17,,lh,inferiortemporal,0.863147
loo,MMRR-21-17,,lh,isthmuscingulate,0.824561
loo,MMRR-21-17,,lh,lateraloccipital,0.771557
loo,MMRR-21-17,,lh,lateralorbitofrontal,0.905276
loo,MMRR-21-17,,lh,lingual,0.847578
loo,MMRR-21-17,,lh,medialorbitofrontal,0.867779
loo,MMRR-21-17,,lh,middletemporal,0.786539
loo,MMRR-21-17,,lh,parahippocampal,0.865979
loo,MMRR-21-17,,lh,paracentral,0.894882
loo,MMRR-21-17,,lh,parsopercularis,0.867734
loo,MMRR-21-17,,lh,parsorbitalis,0.709677
loo,MMRR-21-17,,lh,parstriangularis,0.760700
loo,MMRR-21-17,,lh,pericalcarine,0.818182
loo,MMRR-21-17,,lh,postcentral,0.896884
loo,MMRR-21-17,,lh,posteriorcingulate,0.863924
loo,MMRR-21-17,,lh,precentral,0.923415
loo,MMRR-21-17,,lh,precuneus,0.892914
loo,MMRR-21-17,,lh,rostralanteriorcingulate,0.775561
loo,MMRR-21-17,,lh,rostralmiddlefrontal,0.898092
loo,MMRR-21-17,,lh,superiorfrontal,0.893347
loo,MMRR-21-17,,lh,superiorparietal,0.874813
loo,MMRR-21-17,,lh,superiortemporal,0.859189
loo,MMRR-21-17,,lh,supramarginal,0.763091
loo,MMRR-21-17,,lh,transversetemporal,0.824468
loo,MMRR-21-17,,lh,insula,0.850987
loo,MMRR-21-21,,lh,caudalanteriorcingulate,0.763876
loo,MMRR-21-21,,lh,caudalmiddlefrontal,0.824484
loo,MMRR-21-21,,lh,cuneus,0.820399
loo,MMRR-21-21,,lh,entorhinal,0.772586
loo,MMRR-21-21,,lh,fusiform,0.803436
loo,MMRR-21-21,,lh,inferiorparietal,0.850419
loo,MMRR-21-21,,lh,inferiortemporal,0.831762
loo,MMRR-21-21,,lh,isthmuscingulate,0.833186
loo,MMRR-21-21,,lh,lateraloccipital,0.820726
loo,MMRR-21-21,,lh,lateralorbitofrontal,0.878019
loo,MMRR-21-21,,lh,lingual,0.820548
loo,MMRR-21-21,,lh,medialorbitofrontal,0.817500
loo,MMRR-21-21,,lh,middletemporal,0.829616
loo,MMRR-21-21,,lh,parahippocampal,0.788961
loo,MMRR-21-21,,lh,paracentral,0.906228
loo,MMRR-21-21,,lh,parsopercularis,0.632058
loo,MMRR-21-21,,lh,parsorbitalis,0.777778
loo,MMRR-21-21,,lh,parstriangularis,0.776144
loo,MMRR-21-21,,lh,pericalcarine,0.838821
loo,MMRR-21-21,,lh,postcentral,0.870748
loo,MMRR-21-21,,lh,posteriorcingulate,0.885556
loo,MMRR-21-21,,lh,precentral,0.863455
loo,MMRR-21-21,,lh,precuneus,0.882934
loo,MMRR-21-21,,lh,rostralanteriorcingulate,0.719540
loo,MMRR-21-21,,lh,rostralmiddlefrontal,0.868128
loo,MMRR-21-21,,lh,superiorfrontal,0.858553
loo,MMRR-21-21,,lh,superiorparietal,0.852459
loo,MMRR-21-21,,lh,superiortemporal,0.875706
loo,MMRR-21-21,,lh,supramarginal,0.875955
loo,MMRR-21-21,,lh,transversetemporal,0.861111
loo,MMRR-21-21,,lh,insula,0.823529
loo,MMRR-21-8,,lh,caudalanteriorcingulate,0.708915
loo,MMRR-21-8,,lh,caudalmiddlefrontal,0.728785
loo,MMRR-21-8,,lh,cuneus,0.794045
loo,MMRR-21-8,,lh,entorhinal,0.714715
loo,MMRR-21-8,,lh,fusiform,0.815835
loo,MMRR-21-8,,lh,inferiorparietal,0.888353
loo,MMRR-21-8,,lh,inferiortemporal,0.840083
loo,MMRR-21-8,,lh,isthmuscingulate,0.753968
loo,MMRR-21-8,,lh,lateraloccipital,0.778454
loo,MMRR-21-8,,lh,lateralorbitofrontal,0.861361
loo,MMRR-21-8,,lh,lingual,0.888171
loo,MMRR-21-8,,lh,medialorbitofrontal,0.848329
loo,MMRR-21-8,,lh,middletemporal,0.811044
loo,MMRR-21-8,,lh,parahippocampal,0.777595
loo,MMRR-21-8,,lh,paracentral,0.823441
loo,MMRR-21-8,,lh,parsopercularis,0.770021
loo,MMRR-21-8,,lh,parsorbitalis,0.542424
loo,MMRR-21-8,,lh,parstriangularis,0.570801
loo,MMRR-21-8,,lh,pericalcarine,0.879310
loo,MMRR-21-8,,lh,postcentral,0.844055
loo,MMRR-21-8,,lh,posteriorcingulate,0.800000
loo,MMRR-21-8,,lh,precentral,0.911435
loo,MMRR-21-8,,lh,precuneus,0.854072
loo,MMRR-21-8,,lh,rostralanteriorcingulate,0.738095
loo,MMRR-21-8,,lh,rostralmiddlefrontal,0.885911
loo,MMRR-21-8,,lh,superiorfrontal,0.879251
loo,MMRR-21-8,,lh,superiorparietal,0.848047
loo,MMRR-21-8,,lh,superiortemporal,0.881159
loo,MMRR-21-8,,lh,supramarginal,0.854487
loo,MMRR-21-8,,lh,transversetemporal,0.841176
loo,MMRR-21-8,,lh,insula,0.817618
loo,MMRR-3T7T-2-1,,lh,caudalanteriorcingulate,0.732519
loo,MMRR-3T7T-2-1,,lh,caudalmiddlefrontal,0.875798
loo,MMRR-3T7T-2-1,,lh,cuneus,0.813704
loo,MMRR-3T7T-2-1,,lh,entorhinal,0.641176
loo,MMRR-3T7T-2-1,,lh,fusiform,0.755822
loo,MMRR-3T7T-2-1,,lh,inferiorparietal,0.823912
loo,MMRR-3T7T-2-1,,lh,inferiortemporal,0.817691
loo,MMRR-3T7T-2-1,,lh,isthmuscingulate,0.891285
loo,MMRR-3T7T-2-1,,lh,lateraloccipital,0.831988
loo,MMRR-3T7T-2-1,,lh,lateralorbitofrontal,0.899522
loo,MMRR-3T7T-2-1,,lh,lingual,0.877858
loo,MMRR-3T7T-2-1,,lh,medialorbitofrontal,0.817372
loo,MMRR-3T7T-2-1,,lh,middletemporal,0.816510
loo,MMRR-3T7T-2-1,,lh,parahippocampal,0.777090
loo,MMRR-3T7T-2-1,,lh,paracentral,0.918919
loo,MMRR-3T7T-2-1,,lh,parsopercularis,0.782931
loo,MMRR-3T7T-2-1,,lh,parsorbitalis,0.798265
loo,MMRR-3T7T-2-1,,lh,parstriangularis,0.776087
loo,MMRR-3T7T-2-1,,lh,pericalcarine,0.870748
loo,MMRR-3T7T-2-1,,lh,postcentral,0.877176
loo,MMRR-3T7T-2-1,,lh,posteriorcingulate,0.898156
loo,MMRR-3T7T-2-1,,lh,precentral,0.909480
loo,MMRR-3T7T-2-1,,lh,precuneus,0.921466
loo,MMRR-3T7T-2-1,,lh,rostralanteriorcingulate,0.737955
loo,MMRR-3T7T-2-1,,lh,rostralmiddlefrontal,0.885725
loo,MMRR-3T7T-2-1,,lh,superiorfrontal,0.886685
loo,MMRR-3T7T-2-1,,lh,superiorparietal,0.853913
loo,MMRR-3T7T-2-1,,lh,superiortemporal,0.897858
loo,MMRR-3T7T-2-1,,lh,supramarginal,0.805131
loo,MMRR-3T7T-2-1,,lh,transversetemporal,0.800000
loo,MMRR-3T7T-2-1,,lh,insula,0.864865
loo,MMRR-3T7T-2-2,,lh,caudalanteriorcingulate,0.585366
loo,MMRR-3T7T-2-2,,lh,caudalmiddlefrontal,0.745562
loo,MMRR-3T7T-2-2,,lh,cuneus,0.848485
loo,MMRR-3T7T-2-2,,lh,entorhinal,0.641604
loo,MMRR-3T7T-2-2,,lh,fusiform,0.716062
loo,MMRR-3T7T-2-2,,lh,inferiorparietal,0.613500
loo,MMRR-3T7T-2-2,,lh,inferiortemporal,0.500444
loo,MMRR-3T7T-2-2,,lh,isthmuscingulate,0.868670
loo,MMRR-3T7T-2-2,,lh,lateraloccipital,0.762819
loo,MMRR-3T7T-2-2,,lh,lateralorbitofrontal,0.863194
loo,MMRR-3T7T-2-2,,lh,lingual,0.864865
