protocol,subject_a,subject_b,hemi,region,dice
loo,HLN-12-7,,lh,caudalanteriorcingulate,0.720054
loo,HLN-12-7,,lh,caudalmiddlefrontal,0.771353
loo,HLN-12-7,,lh,cuneus,0.513625
loo,HLN-12-7,,lh,entorhinal,0.732049
loo,HLN-12-7,,lh,fusiform,0.726230
loo,HLN-12-7,,lh,inferiorparietal,0.782756
loo,HLN-12-7,,lh,inferiortemporal,0.733043
loo,HLN-12-7,,lh,isthmuscingulate,0.666790
loo,HLN-12-7,,lh,lateraloccipital,0.647366
loo,HLN-12-7,,lh,lateralorbitofrontal,0.770804
loo,HLN-12-7,,lh,lingual,0.683347
loo,HLN-12-7,,lh,medialorbitofrontal,0.575883
loo,HLN-12-7,,lh,middletemporal,0.745834
loo,HLN-12-7,,lh,parahippocampal,0.870630
loo,HLN-12-7,,lh,paracentral,0.643317
loo,HLN-12-7,,lh,parsopercularis,0.650472
loo,HLN-12-7,,lh,parsorbitalis,0.513495
loo,HLN-12-7,,lh,parstriangularis,0.727881
loo,HLN-12-7,,lh,pericalcarine,0.287658
loo,HLN-12-7,,lh,postcentral,0.691035
loo,HLN-12-7,,lh,posteriorcingulate,0.692989
loo,HLN-12-7,,lh,precentral,0.776590
loo,HLN-12-7,,lh,precuneus,0.731623
loo,HLN-12-7,,lh,rostralanteriorcingulate,0.617723
loo,HLN-12-7,,lh,rostralmiddlefrontal,0.832238
loo,HLN-12-7,,lh,superiorfrontal,0.917701
loo,HLN-12-7,,lh,superiorparietal,0.803991
loo,HLN-12-7,,lh,superiortemporal,0.844695
loo,HLN-12-7,,lh,supramarginal,0.772192
loo,HLN-12-7,,lh,transversetemporal,0.525000
loo,HLN-12-7,,lh,insula,0.641505
loo,HLN-12-8,,lh,caudalanteriorcingulate,0.542608
loo,HLN-12-8,,lh,caudalmiddlefrontal,0.791938
loo,HLN-12-8,,lh,cuneus,0.857863
loo,HLN-12-8,,lh,entorhinal,0.658137
loo,HLN-12-8,,lh,fusiform,0.673691
loo,HLN-12-8,,lh,inferiorparietal,0.812613
loo,HLN-12-8,,lh,inferiortemporal,0.824687
loo,HLN-12-8,,lh,isthmuscingulate,0.687416
loo,HLN-12-8,,lh,lateraloccipital,0.852064
loo,HLN-12-8,,lh,lateralorbitofrontal,0.832162
loo,HLN-12-8,,lh,lingual,0.790435
loo,HLN-12-8,,lh,medialorbitofrontal,0.775543
loo,HLN-12-8,,lh,middletemporal,0.865239
loo,HLN-12-8,,lh,parahippocampal,0.812381
loo,HLN-12-8,,lh,paracentral,0.699791
loo,HLN-12-8,,lh,parsopercularis,0.713411
loo,HLN-12-8,,lh,parsorbitalis,0.304147
loo,HLN-12-8,,lh,parstriangularis,0.623522
loo,HLN-12-8,,lh,pericalcarine,0.635266
loo,HLN-12-8,,lh,postcentral,0.832549
loo,HLN-12-8,,lh,posteriorcingulate,0.623498
loo,HLN-12-8,,lh,precentral,0.859287
loo,HLN-12-8,,lh,precuneus,0.801853
loo,HLN-12-8,,lh,rostralanteriorcingulate,0.543245
loo,HLN-12-8,,lh,rostralmiddlefrontal,0.880011
loo,HLN-12-8,,lh,superiorfrontal,0.846805
loo,HLN-12-8,,lh,superiorparietal,0.856586
loo,HLN-12-8,,lh,superiortemporal,0.865368
loo,HLN-12-8,,lh,supramarginal,0.775228
loo,HLN-12-8,,lh,transversetemporal,0.815759
loo,HLN-12-8,,lh,insula,0.782119
loo,MMRR-21-15,,lh,caudalanteriorcingulate,0.781452
loo,MMRR-21-15,,lh,caudalmiddlefrontal,0.664352
loo,MMRR-21-15,,lh,cuneus,0.666786
loo,MMRR-21-15,,lh,entorhinal,0.712226
loo,MMRR-21-15,,lh,fusiform,0.720297
loo,MMRR-21-15,,lh,inferiorparietal,0.806537
loo,MMRR-21-15,,lh,inferiortemporal,0.752356
loo,MMRR-21-15,,lh,isthmuscingulate,0.680245
loo,MMRR-21-15,,lh,lateraloccipital,0.732449
loo,MMRR-21-15,,lh,lateralorbitofrontal,0.823985
loo,MMRR-21-15,,lh,lingual,0.852331
loo,MMRR-21-15,,lh,medialorbitofrontal,0.774829
loo,MMRR-21-15,,lh,middletemporal,0.794139
loo,MMRR-21-15,,lh,parahippocampal,0.768490
loo,MMRR-21-15,,lh,paracentral,0.711807
loo,MMRR-21-15,,lh,parsopercularis,0.650985
loo,MMRR-21-15,,lh,parsorbitalis,0.243496
loo,MMRR-21-15,,lh,parstriangularis,0.593867
loo,MMRR-21-15,,lh,pericalcarine,0.425603
loo,MMRR-21-15,,lh,postcentral,0.768921
loo,MMRR-21-15,,lh,posteriorcingulate,0.806385
loo,MMRR-21-15,,lh,precentral,0.823087
loo,MMRR-21-15,,lh,precuneus,0.821545
loo,MMRR-21-15,,lh,rostralanteriorcingulate,0.716778
loo,MMRR-21-15,,lh,rostralmiddlefrontal,0.671630
loo,MMRR-21-15,,lh,superiorfrontal,0.876112
loo,MMRR-21-15,,lh,superiorparietal,0.824113
loo,MMRR-21-15,,lh,superiortemporal,0.778100
loo,MMRR-21-15,,lh,supramarginal,0.751136
loo,MMRR-21-15,,lh,transversetemporal,0.385528
loo,MMRR-21-15,,lh,insula,0.544316
loo,MMRR-21-17,,lh,caudalanteriorcingulate,0.775764
loo,MMRR-21-17,,lh,caudalmiddlefrontal,0.898187
loo,MMRR-21-17,,lh,cuneus,0.714192
loo,MMRR-21-17,,lh,entorhinal,0.693851
loo,MMRR-21-17,,lh,fusiform,0.793930
loo,MMRR-21-17,,lh,inferiorparietal,0.764671
loo,MMRR-21-17,,lh,inferiortemporal,0.766102
loo,MMRR-21-17,,lh,isthmuscingulate,0.815375
loo,MMRR-21-17,,lh,lateraloccipital,0.804101
loo,MMRR-21-17,,lh,lateralorbitofrontal,0.827752
loo,MMRR-21-17,,lh,lingual,0.795195
loo,MMRR-21-17,,lh,medialorbitofrontal,0.780863
loo,MMRR-21-17,,lh,middletemporal,0.700880
loo,MMRR-21-17,,lh,parahippocampal,0.907312
loo,MMRR-21-17,,lh,paracentral,0.753680
loo,MMRR-21-17,,lh,parsopercularis,0.856144
loo,MMRR-21-17,,lh,parsorbitalis,0.450939
loo,MMRR-21-17,,lh,parstriangularis,0.760976
loo,MMRR-21-17,,lh,pericalcarine,0.555224
loo,MMRR-21-17,,lh,postcentral,0.812211
loo,MMRR-21-17,,lh,posteriorcingulate,0.812659
loo,MMRR-21-17,,lh,precentral,0.836843
loo,MMRR-21-17,,lh,precuneus,0.861641
loo,MMRR-21-17,,lh,rostralanteriorcingulate,0.764616
loo,MMRR-21-17,,lh,rostralmiddlefrontal,0.898566
loo,MMRR-21-17,,lh,superiorfrontal,0.894003
loo,MMRR-21-17,,lh,superiorparietal,0.733767
loo,MMRR-21-17,,lh,superiortemporal,0.788447
loo,MMRR-21-17,,lh,supramarginal,0.733396
loo,MMRR-21-17,,lh,transversetemporal,0.562392
loo,MMRR-21-17,,lh,insula,0.594974
loo,MMRR-21-21,,lh,caudalanteriorcingulate,0.849829
loo,MMRR-21-21,,lh,caudalmiddlefrontal,0.812667
loo,MMRR-21-21,,lh,cuneus,0.780222
loo,MMRR-21-21,,lh,entorhinal,0.817933
loo,MMRR-21-21,,lh,fusiform,0.684391
loo,MMRR-21-21,,lh,inferiorparietal,0.891010
loo,MMRR-21-21,,lh,inferiortemporal,0.732892
loo,MMRR-21-21,,lh,isthmuscingulate,0.728979
loo,MMRR-21-21,,lh,lateraloccipital,0.745778
loo,MMRR-21-21,,lh,lateralorbitofrontal,0.880996
loo,MMRR-21-21,,lh,lingual,0.779283
loo,MMRR-21-21,,lh,medialorbitofrontal,0.750132
loo,MMRR-21-21,,lh,middletemporal,0.804811
loo,MMRR-21-21,,lh,parahippocampal,0.747150
loo,MMRR-21-21,,lh,paracentral,0.888723
loo,MMRR-21-21,,lh,parsopercularis,0.709924
loo,MMRR-21-21,,lh,parsorbitalis,0.639695
loo,MMRR-21-21,,lh,parstriangularis,0.690882
loo,MMRR-21-21,,lh,pericalcarine,0.669539
loo,MMRR-21-21,,lh,postcentral,0.843411
loo,MMRR-21-21,,lh,posteriorcingulate,0.825269
loo,MMRR-21-21,,lh,precentral,0.844337
loo,MMRR-21-21,,lh,precuneus,0.826065
loo,MMRR-21-21,,lh,rostralanteriorcingulate,0.767157
loo,MMRR-21-21,,lh,rostralmiddlefrontal,0.849881
loo,MMRR-21-21,,lh,superiorfrontal,0.872836
loo,MMRR-21-21,,lh,superiorparietal,0.843172
loo,MMRR-21-21,,lh,superiortemporal,0.850100
loo,MMRR-21-21,,lh,supramarginal,0.855992
loo,MMRR-21-21,,lh,transversetemporal,0.795071
loo,MMRR-21-21,,lh,insula,0.698883
loo,MMRR-21-8,,lh,caudalanteriorcingulate,0.762306
loo,MMRR-21-8,,lh,caudalmiddlefrontal,0.568599
loo,MMRR-21-8,,lh,cuneus,0.427603
loo,MMRR-21-8,,lh,entorhinal,0.507692
loo,MMRR-21-8,,lh,fusiform,0.586343
loo,MMRR-21-8,,lh,inferiorparietal,0.747539
loo,MMRR-21-8,,lh,inferiortemporal,0.689169
loo,MMRR-21-8,,lh,isthmuscingulate,0.731853
loo,MMRR-21-8,,lh,lateraloccipital,0.474067
loo,MMRR-21-8,,lh,lateralorbitofrontal,0.782722
loo,MMRR-21-8,,lh,lingual,0.458576
loo,MMRR-21-8,,lh,medialorbitofrontal,0.787373
loo,MMRR-21-8,,lh,middletemporal,0.710113
loo,MMRR-21-8,,lh,parahippocampal,0.541040
loo,MMRR-21-8,,lh,paracentral,0.660792
loo,MMRR-21-8,,lh,parsopercularis,0.684707
loo,MMRR-21-8,,lh,parsorbitalis,0.310725
loo,MMRR-21-8,,lh,parstriangularis,0.415534
loo,MMRR-21-8,,lh,pericalcarine,0.064491
loo,MMRR-21-8,,lh,postcentral,0.673121
loo,MMRR-21-8,,lh,posteriorcingulate,0.740311
loo,MMRR-21-8,,lh,precentral,0.754537
loo,MMRR-21-8,,lh,precuneus,0.768492
loo,MMRR-21-8,,lh,rostralanteriorcingulate,0.719238
loo,MMRR-21-8,,lh,rostralmiddlefrontal,0.854240
loo,MMRR-21-8,,lh,superiorfrontal,0.892120
loo,MMRR-21-8,,lh,superiorparietal,0.695051
loo,MMRR-21-8,,lh,superiortemporal,0.707610
loo,MMRR-21-8,,lh,supramarginal,0.725888
loo,MMRR-21-8,,lh,transversetemporal,0.443409
loo,MMRR-21-8,,lh,insula,0.673219
loo,MMRR-3T7T-2-1,,lh,caudalanteriorcingulate,0.397578
loo,MMRR-3T7T-2-1,,lh,caudalmiddlefrontal,0.830396
loo,MMRR-3T7T-2-1,,lh,cuneus,0.680105
loo,MMRR-3T7T-2-1,,lh,entorhinal,0.656489
loo,MMRR-3T7T-2-1,,lh,fusiform,0.752412
loo,MMRR-3T7T-2-1,,lh,inferiorparietal,0.717319
loo,MMRR-3T7T-2-1,,lh,inferiortemporal,0.809625
loo,MMRR-3T7T-2-1,,lh,isthmuscingulate,0.715323
loo,MMRR-3T7T-2-1,,lh,lateraloccipital,0.866879
loo,MMRR-3T7T-2-1,,lh,lateralorbitofrontal,0.744761
loo,MMRR-3T7T-2-1,,lh,lingual,0.839049
loo,MMRR-3T7T-2-1,,lh,medialorbitofrontal,0.692512
loo,MMRR-3T7T-2-1,,lh,middletemporal,0.745713
loo,MMRR-3T7T-2-1,,lh,parahippocampal,0.713085
loo,MMRR-3T7T-2-1,,lh,paracentral,0.741377
loo,MMRR-3T7T-2-1,,lh,parsopercularis,0.803862
loo,MMRR-3T7T-2-1,,lh,parsorbitalis,0.302998
loo,MMRR-3T7T-2-1,,lh,parstriangularis,0.640455
loo,MMRR-3T7T-2-1,,lh,pericalcarine,0.641734
loo,MMRR-3T7T-2-1,,lh,postcentral,0.846643
loo,MMRR-3T7T-2-1,,lh,posteriorcingulate,0.661545
loo,MMRR-3T7T-2-1,,lh,precentral,0.904887
loo,MMRR-3T7T-2-1,,lh,precuneus,0.829578
loo,MMRR-3T7T-2-1,,lh,rostralanteriorcingulate,0.496271
loo,MMRR-3T7T-2-1,,lh,rostralmiddlefrontal,0.916992
loo,MMRR-3T7T-2-1,,lh,superiorfrontal,0.812409
loo,MMRR-3T7T-2-1,,lh,superiorparietal,0.675794
loo,MMRR-3T7T-2-1,,lh,superiortemporal,0.831725
loo,MMRR-3T7T-2-1,,lh,supramarginal,0.823593
loo,MMRR-3T7T-2-1,,lh,transversetemporal,0.599303
loo,MMRR-3T7T-2-1,,lh,insula,0.799597
loo,MMRR-3T7T-2-2,,lh,caudalanteriorcingulate,0.613528
